date,prediction,confidence_interval
2025-03-01,170680.54721197096,"[126268.73034345175, 215092.36408049017]"
2025-04-01,170640.20703006044,"[116993.22720803271, 224287.18685208817]"
2025-05-01,170790.05318700447,"[103792.3570926975, 237787.74928131144]"
2025-06-01,170689.4501650924,"[93382.6490826741, 247996.25124751066]"
2025-07-01,170566.50080942293,"[82010.44109642631, 259122.56052241955]"
2025-08-01,170318.45945033824,"[70891.08974681531, 269745.82915386115]"
2025-09-01,170006.26287727666,"[59178.66968516627, 280833.85606938705]"
2025-10-01,169609.86837932884,"[47062.88864979343, 292156.8481088643]"
2025-11-01,169149.296667853,"[34293.317447011825, 304005.27588869416]"
2025-12-01,168624.74766256387,"[20858.654607402277, 316390.84071772546]"
2026-01-01,168046.22732966783,"[6653.38788299376, 329439.0667763419]"
2026-02-01,167418.89023742883,"[-8367.59085994761, 343205.37133480527]"
2026-03-01,166750.291112219,"[-24267.177979998785, 357767.76020443684]"
2026-04-01,166046.79723732456,"[-41090.50468686971, 373184.09916151885]"
2026-05-01,165315.3633661143,"[-58883.88609809708, 389514.61283032567]"
2026-06-01,164562.6536097342,"[-77686.81996256614, 406812.12718203454]"
2026-07-01,163795.47587031507,"[-97536.83465324249, 425127.78639387264]"
2026-08-01,163020.56691150303,"[-118467.87191153818, 444509.00573454425]"
2026-09-01,162244.69869166796,"[-140511.688316124, 465001.0856994599]"
2026-10-01,161474.6257571055,"[-163697.67778175246, 486646.9292959635]"
2026-11-01,160717.11126848008,"[-188053.38611232035, 509487.6086492805]"
2026-12-01,159978.91412462335,"[-213604.62320452294, 533562.4514537696]"
2027-01-01,159266.7953328462,"[-240375.71986767047, 558909.3105333629]"
2027-02-01,158587.51485732038,"[-268389.6703600214, 585564.7000746622]"
