date,prediction,confidence_interval
2025-03-01,282258.987819236,"[221260.64483453074, 343257.33080394124]"
2025-04-01,278575.4019368395,"[215180.0661905444, 341970.7376831346]"
2025-05-01,274817.7351066017,"[209162.52727624186, 340472.9429369616]"
2025-06-01,272235.29717704403,"[204725.18142009227, 339745.41293399583]"
2025-07-01,269735.71643756254,"[200532.90656615986, 338938.5263089652]"
2025-08-01,267316.33442583034,"[196564.44002753714, 338068.2288241235]"
2025-09-01,264974.5779759436,"[192801.5684468578, 337147.58750502946]"
2025-10-01,262707.9564816969,"[189228.4937216733, 336187.4192417206]"
2025-11-01,260514.05924766575,"[185831.3655416884, 335196.7529536431]"
2025-12-01,258390.55292527936,"[182597.92926771197, 334183.1765828468]"
2026-01-01,256335.17903115705,"[179517.2556379664, 333153.1024243477]"
2026-02-01,254345.75154506788,"[176579.52978771506, 332111.9733024207]"
2026-03-01,252420.15458496002,"[173775.88409018703, 331064.425079733]"
2026-04-01,250556.34015658608,"[171098.26392905365, 330014.4163841185]"
2026-05-01,248752.3259753317,"[168539.31860060457, 328965.3333500589]"
2026-06-01,247006.1933579304,"[166092.31165950606, 327920.07505635475]"
2026-07-01,245316.08518182248,"[163751.0464993014, 326881.12386434356]"
2026-08-01,243680.20390998758,"[161509.8040080905, 325850.60381188465]"
2026-09-01,242096.8096791503,"[159363.289896792, 324830.32946150855]"
2026-10-01,240564.21844932548,"[157306.58985129994, 323821.847047351]"
2026-11-01,239080.8002127352,"[155335.1310704959, 322826.46935497446]"
2026-12-01,237644.97726019216,"[153444.6490602027, 321845.3054601816]"
2027-01-01,236255.22250310617,"[151631.15878694435, 320879.286219268]"
2027-02-01,234910.05784932885,"[149890.92947459116, 319929.18622406654]"
