date,prediction,confidence_interval
2025-03-01,190326.3249269217,"[159072.06875799602, 221580.58109584736]"
2025-04-01,189023.85431094762,"[155257.94330892296, 222789.76531297227]"
2025-05-01,188073.67519368534,"[152331.02677763283, 223816.32360973785]"
2025-06-01,186737.22401231137,"[149324.12874197942, 224150.31928264332]"
2025-07-01,185819.2138714689,"[146777.84992303728, 224860.57781990053]"
2025-08-01,184538.8678473884,"[144085.83103186853, 224991.9046629083]"
2025-09-01,183657.58290955663,"[141814.71093553252, 225500.45488358074]"
2025-10-01,182431.34625058025,"[139373.4935750392, 225489.1989261213]"
2025-11-01,181585.35046675493,"[137323.9260332604, 225846.77490024947]"
2025-12-01,180410.93182971547,"[135091.04639229586, 225730.81726713508]"
2026-01-01,179598.82080048777,"[133225.7917910489, 225971.84980992664]"
2026-02-01,178474.02458968124,"[131170.58912267693, 225777.46005668555]"
2026-03-01,177694.4492820841,"[129462.26175940933, 225926.63680475886]"
2026-04-01,176617.1731989973,"[127561.50210860975, 225672.84428938484]"
2026-05-01,175868.83788778726,"[125989.11269132189, 225748.56308425264]"
2026-06-01,174837.0689606741,"[124224.5347765907, 225449.6031447575]"
2026-07-01,174118.7291420355,"[122771.47586544552, 225465.9824186255]"
2026-08-01,173130.5399183425,"[121128.31219141616, 225132.76764526882]"
2026-09-01,172441.0003038179,"[119781.10858415536, 225100.89202348047]"
2026-10-01,171494.54520543915,"[118247.1431669905, 224741.94724388781]"
2026-11-01,170832.65779349222,"[116994.63718826478, 224670.67839871967]"
2026-12-01,169926.1696278937,"[115559.57750479817, 224292.7617509892]"
2027-01-01,169290.8318501487,"[114392.37576565062, 224189.2879346468]"
2027-02-01,168422.6184706713,"[113047.41823137237, 223797.81870997022]"
