date,prediction,confidence_interval
2025-03-01,180621.37676957843,"[127276.90380705023, 233965.84973210664]"
2025-04-01,173364.60314031623,"[118419.42468609841, 228309.78159453406]"
2025-05-01,176476.9526882469,"[119143.21152332047, 233810.69385317335]"
2025-06-01,166871.3009258656,"[107885.36212286419, 225857.23972886702]"
2025-07-01,170910.42577829483,"[110485.7852046134, 231335.06635197625]"
2025-08-01,161799.6889923824,"[100318.44027597384, 223280.93770879097]"
2025-09-01,166321.4387623838,"[103902.13723430288, 228740.74029046472]"
2025-10-01,157648.18806709355,"[94547.28891637264, 220749.08721781446]"
2025-11-01,162561.24216594992,"[98838.6736197549, 226283.81071214494]"
2025-12-01,154247.31010629016,"[90081.54561325075, 218413.07459932956]"
2026-01-01,159480.4060491731,"[94898.30638774676, 224062.50571059942]"
2026-02-01,151461.34718969325,"[86590.07153100314, 216332.62284838335]"
2026-03-01,156956.1488572809,"[91803.85786336682, 222108.43985119497]"
2026-04-01,149179.16002791925,"[83838.13106228891, 214520.1889935496]"
2026-05-01,154887.87567078718,"[89355.93574206755, 220419.8155995068]"
2026-06-01,147309.6969831562,"[81654.84102887016, 212964.55293744226]"
2026-07-01,153193.17285530173,"[87407.85375400253, 218978.49195660092]"
2026-08-01,145778.3629350976,"[79913.35062573376, 211643.37524446144]"
2026-09-01,151804.52206877214,"[85849.83776063415, 217759.20637691015]"
2026-10-01,144524.0449524631,"[78518.04501898038, 210530.0448859458]"
2026-11-01,150666.60811371962,"[84598.60138991747, 216734.61483752175]"
2026-12-01,143496.67554612938,"[77395.94695577212, 209597.40413648664]"
2027-01-01,149734.11336268124,"[83590.22899359989, 215877.9977317626]"
2027-02-01,142655.23633562936,"[76490.7678724799, 208819.7047987788]"
