date,prediction,confidence_interval
2025-03-01,450146.1121345217,"[316130.9710656668, 584161.2532033767]"
2025-04-01,428234.4255092259,"[288551.3106947727, 567917.5403236791]"
2025-05-01,413027.72929353704,"[266865.195794431, 559190.262792643]"
2025-06-01,406105.90743695566,"[257390.7272080967, 554821.0876658147]"
2025-07-01,402050.91247015534,"[251273.83834491074, 552827.9865953999]"
2025-08-01,400018.7059723877,"[247699.33698312478, 552338.0749616507]"
2025-09-01,398898.96718055406,"[245205.17584118925, 552592.7585199189]"
2025-10-01,398316.9170514287,"[243363.06572325554, 553270.7683796019]"
2025-11-01,398003.4094618229,"[241844.03644528292, 554162.7824783628]"
2025-12-01,397838.18726361153,"[240508.13609836937, 555168.2384288537]"
2026-01-01,397749.9449562724,"[239270.4486684053, 556229.4412441395]"
2026-02-01,397703.19935444824,"[238089.4090990884, 557316.9896098081]"
2026-03-01,397678.3123218009,"[236941.7669541478, 558414.857689454]"
2026-04-01,397665.10307485575,"[235815.48118832515, 559514.7249613863]"
2026-05-01,397658.078900649,"[234703.9715088754, 560612.1862924226]"
2026-06-01,397654.3479858657,"[233603.71522470057, 561704.9807470308]"
2026-07-01,397652.3649086121,"[232512.76331510948, 562791.9665021147]"
2026-08-01,397651.31130383996,"[231430.02078107133, 563872.6018266086]"
2026-09-01,397650.75137893774,"[230354.84259855936, 564946.6601593161]"
2026-10-01,397650.4538617276,"[229286.82631707907, 566014.0814063761]"
2026-11-01,397650.2957598287,"[228225.6995638892, 567074.8919557682]"
2026-12-01,397650.21174886683,"[227171.26099973518, 568129.1624979984]"
2027-01-01,397650.16710612964,"[226123.34865461887, 569176.9855576404]"
2027-02-01,397650.1433838791,"[225081.82312568938, 570218.4636420688]"
