date,prediction,confidence_interval
2025-03-01,343317.098332786,"[281011.449982422, 405622.74668315]"
2025-04-01,359279.4440061075,"[290872.2586814292, 427686.6293307858]"
2025-05-01,349371.4465624107,"[280652.36490815436, 418090.528216667]"
2025-06-01,361522.881903369,"[291765.6260184994, 431280.1377882386]"
2025-07-01,353674.43397793575,"[283620.5582846812, 423728.30967119033]"
2025-08-01,363869.35350087215,"[292609.7752222017, 435128.9317795426]"
2025-09-01,357811.4839468542,"[286009.94499594043, 429613.02289776795]"
2025-10-01,366405.62425855006,"[293196.40120605077, 439614.84731104935]"
2025-11-01,361794.8868433201,"[287766.8845465337, 435822.8891401065]"
2025-12-01,369087.1160187476,"[293435.1504176671, 444739.0816198281]"
2026-01-01,365652.05819126446,"[288880.30659102835, 442423.80979150056]"
2026-02-01,371886.88089371263,"[293261.65288723184, 450512.1089001934]"
2026-03-01,369407.1605562124,"[289348.8866084847, 449465.4345039401]"
2026-04-01,374783.19212916016,"[292634.45165522344, 456931.9326030969]"
2026-05-01,373079.7958751311,"[289182.66510731325, 456976.92664294894]"
2026-06-01,377758.38536019315,"[291531.5457898663, 463985.22493052]"
2026-07-01,376685.88561260223,"[288400.9796132557, 464970.79161194875]"
2026-08-01,380798.1101334002,"[289946.3132272515, 471649.90703954885]"
2026-09-01,380238.36412656744,"[287029.924031756, 473446.8042213789]"
2026-10-01,383890.7084160375,"[287883.51728098583, 479897.89955108915]"
2026-11-01,383747.7390640369,"[285099.8087135106, 482395.6694145633]"
2026-12-01,387026.70942952344,"[285355.7265667161, 488697.6922923308]"
2027-01-01,387222.5466509091,"[282642.93109949754, 491802.1622023207]"
2027-02-01,390198.41928137315,"[282380.3566513526, 498016.4819113937]"
