date,prediction,confidence_interval
2025-03-01,178660.7090600445,"[145921.74592117546, 211399.67219891353]"
2025-04-01,175035.81520584328,"[139569.62251559785, 210502.0078960887]"
2025-05-01,171630.89369889718,"[133921.8602095383, 209339.92718825606]"
2025-06-01,168432.59578045542,"[128850.06088791434, 208015.1306729965]"
2025-07-01,165428.38274522353,"[124263.57446917781, 206593.19102126925]"
2025-08-01,162606.47678423836,"[120094.48022421132, 205118.4733442654]"
2025-09-01,159955.8148107845,"[116289.67449399481, 203621.9551275742]"
2025-10-01,157466.0050883296,"[112806.30759822996, 202125.70257842925]"
2025-11-01,155127.28649044165,"[109608.96395019666, 200645.60903068664]"
2025-12-01,152930.49023296937,"[106667.82123373849, 199193.15923220024]"
2026-01-01,150867.00392845954,"[103957.39378213004, 197776.61407478905]"
2026-02-01,148928.73782188894,"[101455.6422447961, 196401.83339898178]"
2026-03-01,147108.09307534058,"[99143.32262279191, 195072.86352788925]"
2026-04-01,145397.93197728632,"[97003.49734452975, 193792.3666100429]"
2026-05-01,143791.5499596836,"[95021.15942584533, 192561.94049352186]"
2026-06-01,142282.64931318111,"[93182.93767781171, 191382.36094855051]"
2026-07-01,140865.314497386,"[91476.8613822656, 190253.76761250637]"
2026-08-01,139533.98894939758,"[89892.16952228147, 189175.80837651368]"
2026-09-01,138283.4532996878,"[88419.15402462448, 188147.7525747511]"
2026-10-01,137108.8049099247,"[87049.0294062245, 187168.58041362488]"
2026-11-01,136005.43865251867,"[85773.82323182354, 186237.0540732138]"
2026-12-01,134969.02885653908,"[84586.28320120714, 185351.77451187102]"
2027-01-01,133995.51234922107,"[83479.7976907896, 184511.22700765255]"
2027-02-01,133081.07252657844,"[82448.32730390778, 183713.8177492491]"
