date,prediction,confidence_interval
2025-03-01,193509.1878195287,"[169515.974893586, 217502.40074547142]"
2025-04-01,197854.9431904999,"[169266.5094856202, 226443.37689537962]"
2025-05-01,205063.9823091111,"[171017.5590568536, 239110.4055613686]"
2025-06-01,196012.90589535324,"[155721.752538346, 236304.0592523605]"
2025-07-01,191064.74932067184,"[147063.49857090582, 235066.00007043785]"
2025-08-01,194624.96077608346,"[147728.64267145144, 241521.2788807155]"
2025-09-01,192795.200786417,"[142515.56448554137, 243074.83708729263]"
2025-10-01,187804.88150768852,"[134591.76618550514, 241017.9968298719]"
2025-11-01,187288.75820308842,"[131830.54642765346, 242746.96997852338]"
2025-12-01,187200.27302627417,"[129531.69125029093, 244868.8548022574]"
2026-01-01,184336.9530066786,"[124492.8189062989, 244181.08710705832]"
2026-02-01,182278.5850583038,"[120587.22897221259, 243969.94114439504]"
2026-03-01,181701.24423360475,"[118345.43532457773, 245057.05314263178]"
2026-04-01,180194.58712182453,"[115211.87858809893, 245177.29565555014]"
2026-05-01,178196.8533809516,"[111719.6288220052, 244674.077939898]"
2026-06-01,177012.25509756609,"[109195.23183258306, 244829.2783625491]"
2026-07-01,175913.12678174966,"[106829.7773812622, 244996.4761822371]"
2026-08-01,174363.66837163293,"[104083.22173948426, 244644.1150037816]"
2026-09-01,172991.95806015423,"[101613.76874452332, 244370.14737578513]"
2026-10-01,171899.32437559753,"[99500.5909288063, 244298.05782238877]"
2026-11-01,170667.52312826834,"[97303.58568037502, 244031.46057616165]"
2026-12-01,169380.87556552087,"[95115.57309650183, 243646.17803453992]"
2027-01-01,168261.3969379905,"[93157.95264159181, 243364.8412343892]"
2027-02-01,167177.98308967965,"[91286.13069503805, 243069.83548432123]"
