date,prediction,confidence_interval
2025-03-01,271940.7161626265,"[233660.3553052444, 310221.07702000864]"
2025-04-01,281789.6359972192,"[242906.61541408979, 320672.6565803486]"
2025-05-01,274335.0526535959,"[234907.82418151884, 313762.28112567303]"
2025-06-01,284323.8929615858,"[244568.88533062386, 324078.90059254767]"
2025-07-01,277275.39980102336,"[236917.70841861854, 317633.0911834282]"
2025-08-01,286798.0422929875,"[246106.9600054802, 327489.1245804948]"
2025-09-01,280190.04690029204,"[238918.63072170754, 321461.46307887655]"
2025-10-01,289284.45462379203,"[247681.46374216053, 330887.44550542353]"
2025-11-01,283093.5838379745,"[240929.968205054, 325257.19947089505]"
2025-12-01,291781.9512968916,"[249288.4197104046, 334275.48288337863]"
2026-01-01,285986.33027367754,"[242950.38328273583, 329022.27726461925]"
2026-02-01,294289.9470283492,"[250925.76050785912, 337654.1335488393]"
2026-03-01,288868.8563063737,"[244979.1185594739, 332758.59405327355]"
2026-04-01,296807.89174204296,"[252591.60853712616, 341024.17494695977]"
2026-05-01,291741.6976483387,"[247015.51978446468, 336467.8755122127]"
2026-06-01,299335.2638827534,"[254284.2540789588, 344386.273686548]"
2026-07-01,294605.3619920262,"[249059.02613546397, 340151.69784858846]"
2026-08-01,301871.5692451753,"[256002.13510823296, 347741.0033821176]"
2026-09-01,297460.33041492867,"[251109.1553782432, 343811.50545161415]"
2026-10-01,304416.33953109,"[257743.81991447002, 351088.85914770997]"
2026-11-01,300307.05877544906,"[253165.4916855575, 347448.6258653406]"
2026-12-01,306969.1309914569,"[259507.99236704182, 354430.269615872]"
2027-01-01,303145.97903493705,"[255227.6755013646, 351064.2825685095]"
2027-02-01,309529.5231394907,"[261293.4393274056, 357765.6069515758]"
