date,prediction,confidence_interval
2025-03-01,455354.23879940785,"[255975.90107797753, 654732.5765208382]"
2025-04-01,331738.72569024976,"[72976.07242743153, 590501.378953068]"
2025-05-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2025-06-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2025-07-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2025-08-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2025-09-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2025-10-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2025-11-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2025-12-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-01-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-02-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-03-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-04-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-05-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-06-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-07-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-08-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-09-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-10-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-11-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2026-12-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2027-01-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
2027-02-01,319660.83264840767,"[35734.689724106924, 603586.9755727084]"
