date,prediction,confidence_interval
2025-03-01,328135.1641860394,"[195197.97578509714, 461072.3525869817]"
2025-04-01,295261.68181168014,"[72422.03035586746, 518101.3332674928]"
2025-05-01,257195.81149406632,"[-16169.730742033455, 530561.3537301661]"
2025-06-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2025-07-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2025-08-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2025-09-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2025-10-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2025-11-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2025-12-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-01-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-02-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-03-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-04-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-05-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-06-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-07-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-08-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-09-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-10-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-11-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2026-12-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2027-01-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
2027-02-01,237306.65243498312,"[-46858.9805069014, 521472.2853768676]"
