date,prediction,confidence_interval
2025-03-01,389153.3017105479,"[355574.7064303712, 422731.89699072455]"
2025-04-01,392921.24423793505,"[356488.3824864143, 429354.1059894558]"
2025-05-01,384921.3041595418,"[343174.748164527, 426667.8601545566]"
2025-06-01,394123.67572636576,"[349426.6615704064, 438820.6898823251]"
2025-07-01,385489.67494468205,"[337420.0486666428, 433559.3012227213]"
2025-08-01,390996.037890368,"[339424.7600513537, 442567.31572938233]"
2025-09-01,388948.9256056015,"[335093.1159498767, 442804.7352613263]"
2025-10-01,386921.0074116001,"[329551.5471871384, 444290.4676360618]"
2025-11-01,391439.3428369172,"[332003.2715888161, 450875.41408501833]"
2025-12-01,385254.3059707554,"[322945.97761511005, 447562.63432640076]"
2026-01-01,390843.3692933257,"[326211.2045541659, 455475.5340324855]"
2026-02-01,386530.9687679389,"[319734.8896443067, 453327.0478915711]"
2026-03-01,388131.3851318606,"[318779.5439754237, 457483.22628829756]"
2026-04-01,388700.91891893675,"[317536.9306861247, 459864.9071517488]"
2026-05-01,385805.28698559187,"[312211.27982619795, 459399.2941449858]"
2026-06-01,389464.7777834346,"[314046.04628135194, 464883.50928551727]"
2026-07-01,385440.4072736434,"[307971.0125040583, 462909.8020432285]"
2026-08-01,388252.90803834045,"[308798.9644001838, 467706.8516764971]"
2026-09-01,386594.9906233859,"[305417.5142316764, 467772.46701509535]"
2026-10-01,386282.504486804,"[303069.8407703795, 469495.1682032285]"
2026-11-01,387666.55933148984,"[302848.1124593386, 472485.00620364107]"
2026-12-01,385109.8226690991,"[298405.221782956, 471814.4235552422]"
2027-01-01,387509.79632087797,"[299150.94130171323, 475868.6513400427]"
2027-02-01,385249.54456313746,"[295233.03477718146, 475266.05434909347]"
