date,prediction,confidence_interval
2025-03-01,132882.5944783861,"[-78526.61321443607, 344291.8021712083]"
2025-04-01,120566.85531686543,"[-120118.24457616892, 361251.9552098998]"
2025-05-01,108569.8050254097,"[-164840.7654582848, 381980.3755091042]"
2025-06-01,96919.38714057839,"[-214293.13822194978, 408131.9125031065]"
2025-07-01,85643.54519893102,"[-269889.2944562037, 441176.3848540657]"
2025-08-01,74770.2227370271,"[-332876.89436008316, 482417.33983413735]"
2025-09-01,64327.36329142612,"[-404340.6430839, 532995.3696667522]"
2025-10-01,54342.91039868761,"[-485212.2817410943, 593898.1025384695]"
2025-11-01,44844.807595371036,"[-576290.3188051574, 665979.9339958995]"
2025-12-01,35860.998418035924,"[-678264.8856852279, 749986.8825212998]"
2026-01-01,27419.426403241778,"[-791742.3573998505, 846581.2102063341]"
2026-02-01,19548.035087548094,"[-917266.4325020447, 956362.5026771409]"
2026-03-01,12274.76800751438,"[-1055334.5611225674, 1079884.097137596]"
2026-04-01,5627.56869970014,"[-1206409.9841004536, 1217665.1214998537]"
2026-05-01,-365.6192993351242,"[-1370930.2181356875, 1370198.9795370172]"
2026-06-01,-5676.852453031906,"[-1549312.9038208819, 1537959.1989148182]"
2026-07-01,-10278.187224830705,"[-1741959.7994396528, 1721403.4249899914]"
2026-08-01,-14141.680078172014,"[-1949259.5142552552, 1920976.154098911]"
2026-09-01,-17239.387476496333,"[-2171589.4022831125, 2137110.6273301197]"
2026-10-01,-19543.36588324415,"[-2409316.9030733365, 2370230.171306848]"
2026-11-01,-21025.67176185597,"[-2662800.519574815, 2620749.176051103]"
2026-12-01,-21658.361575772284,"[-2932390.5571787516, 2889073.8340272075]"
2027-01-01,-21413.491788433596,"[-3218429.704212271, 3175602.7206354043]"
2027-02-01,-20263.11886328039,"[-3521253.505564662, 3480727.2678381014]"
