date,prediction,confidence_interval
2025-03-01,457554.19301687484,"[434598.29774877604, 480510.08828497364]"
2025-04-01,459447.3005300531,"[419634.5318938347, 499260.0691662715]"
2025-05-01,459723.31913194957,"[406464.3289997478, 512982.3092641513]"
2025-06-01,459517.840547732,"[395045.2092476193, 523990.4718478447]"
2025-07-01,459149.74945912545,"[384932.94956651604, 533366.5493517348]"
2025-08-01,458708.5916403594,"[375762.97489411, 541654.2083866087]"
2025-09-01,458219.51237479784,"[367284.45520967303, 549154.5695399226]"
2025-10-01,457689.5726910698,"[359328.52786515054, 556050.617516989]"
2025-11-01,457120.75539145997,"[351779.1107141069, 562462.400068813]"
2025-12-01,456513.61726522754,"[344553.7300283226, 568473.5045021325]"
2026-01-01,455868.31466395716,"[337591.78132069646, 574144.8480072179]"
2026-02-01,455184.89149262296,"[330847.35672487953, 579522.4262603665]"
2026-03-01,454463.36008014856,"[324284.7618851105, 584641.9582751866]"
2026-04-01,453703.72388861,"[317875.62470829417, 589531.8230689259]"
2026-05-01,452905.9838901904,"[311596.9688754478, 594214.998904933]"
2026-06-01,452070.1403578876,"[305429.89013517904, 598710.3905805962]"
2026-07-01,451196.1933683622,"[299358.62127292523, 603033.7654637992]"
2026-08-01,450284.142943141,"[293369.85530492605, 607198.4305813559]"
2026-09-01,449333.98908826895,"[287452.24496589706, 611215.7332106408]"
2026-10-01,448345.7318054436,"[281596.0255241691, 615095.4380867181]"
2026-11-01,447319.37109514157,"[275792.72576178244, 618846.0164285006]"
2026-12-01,446254.9069574968,"[270034.9432094662, 622474.8707055274]"
2027-01-01,445152.3393925467,"[264316.16702371446, 625988.511761379]"
2027-02-01,444011.668400302,"[258630.6367377478, 629392.7000628562]"
