date,prediction,confidence_interval
2025-03-01,238841.26643996188,"[197818.9362607735, 279863.59661915025]"
2025-04-01,239047.87810209644,"[192784.4712742274, 285311.2849299655]"
2025-05-01,240476.4655168896,"[187816.94691196014, 293135.9841218191]"
2025-06-01,240521.09555787762,"[180892.38307631956, 300149.80803943565]"
2025-07-01,241333.8044479336,"[176858.27261194543, 305809.33628392173]"
2025-08-01,241932.7208639879,"[172220.97407042826, 311644.46765754756]"
2025-09-01,242475.8821185144,"[168101.67823928673, 316850.085997742]"
2025-10-01,243129.17237573324,"[164405.38769127248, 321852.957060194]"
2025-11-01,243708.85319649507,"[160778.89957971586, 326638.8068132743]"
2025-12-01,244315.7979480857,"[157439.07910404552, 331192.5167921259]"
2026-01-01,244922.52507364796,"[154249.9281625271, 335595.12198476883]"
2026-02-01,245521.22272797785,"[151206.25808086095, 339836.18737509474]"
2026-03-01,246126.57658175225,"[148309.89445694193, 343943.25870656257]"
2026-04-01,246728.884310886,"[145527.2764097927, 347930.4922119793]"
2026-05-01,247331.6884127614,"[142856.74451062139, 351806.63231490145]"
2026-06-01,247935.00215503396,"[140285.85204309624, 355584.15226697165]"
2026-07-01,248537.74814032574,"[137805.06851685102, 359270.4277638005]"
2026-08-01,249140.8067142154,"[135408.4907688523, 362873.1226595785]"
2026-09-01,249743.77964122684,"[133088.75438343588, 366398.8048990178]"
2026-10-01,250346.72875998743,"[130840.50343517955, 369852.9540847953]"
2026-11-01,250949.72320574816,"[128658.76558225627, 373240.68082924007]"
2026-12-01,251552.68761432596,"[126538.99027466027, 376566.3849539916]"
2027-01-01,252155.6630315797,"[124477.29074117212, 379834.03532198723]"
2027-02-01,252758.63845580642,"[122470.0721747476, 383047.20473686524]"
