date,prediction,confidence_interval
2025-03-01,1236739.961520254,"[1100355.5639113812, 1373124.3591291266]"
2025-04-01,1232727.388362886,"[1073663.3313774092, 1391791.4453483627]"
2025-05-01,1240304.7158564471,"[1066110.8072173162, 1414498.624495578]"
2025-06-01,1250188.165965902,"[1062881.6376709652, 1437494.6942608387]"
2025-07-01,1260530.4812269842,"[1061118.874622093, 1459942.0878318753]"
2025-08-01,1270964.1000579316,"[1060169.0488451058, 1481759.1512707574]"
2025-09-01,1281415.8861910605,"[1059826.6392132405, 1503005.1331688806]"
2025-10-01,1291871.2871978362,"[1059990.7731784207, 1523751.8012172517]"
2025-11-01,1302327.4074809991,"[1060593.5472287622, 1544061.267733236]"
2025-12-01,1312783.670883555,"[1061582.7009447806, 1563984.6408223293]"
2026-01-01,1323239.9627635654,"[1062915.949730414, 1583563.9757967168]"
2026-02-01,1333696.2603099316,"[1064558.2743241766, 1602834.2462956866]"
2026-03-01,1344152.5589837718,"[1066480.2357409792, 1621824.8822265645]"
2026-04-01,1354608.8578819532,"[1068656.7943102096, 1640560.921453697]"
2026-05-01,1365065.1568247734,"[1071066.4387644425, 1659063.8748851044]"
2026-06-01,1375521.4557764756,"[1073690.5266453456, 1677352.3849076056]"
2026-07-01,1385977.7547299452,"[1076512.7755497824, 1695442.733910108]"
2026-08-01,1396434.0536837664,"[1079518.8648749134, 1713349.2424926194]"
2026-09-01,1406890.3526376577,"[1082696.1200293116, 1731084.5852460037]"
2026-10-01,1417346.651591563,"[1086033.259143754, 1748660.044039372]"
2026-11-01,1427802.950545471,"[1089520.1877950802, 1766085.7132958616]"
2026-12-01,1438259.2494993794,"[1093147.8310664357, 1783370.6679323232]"
2027-01-01,1448715.548453288,"[1096907.994964794, 1800523.1019417818]"
2027-02-01,1459171.8474071966,"[1100793.2511569173, 1817550.443657476]"
