date,prediction,confidence_interval
2025-03-01,244135.05749704177,"[200864.5846375574, 287405.53035652614]"
2025-04-01,248919.38680594633,"[196370.33207425906, 301468.4415376336]"
2025-05-01,240964.2745353075,"[178903.0614434366, 303025.4876271784]"
2025-06-01,250488.92712028773,"[179645.0424216942, 321332.81181888125]"
2025-07-01,241460.5039718449,"[163646.83131640888, 319274.17662728095]"
2025-08-01,250616.0742594759,"[165284.05155029186, 335948.0969686599]"
2025-09-01,242324.73581235867,"[150966.40604009965, 333683.06558461767]"
2025-10-01,250519.65024782234,"[152538.24080569373, 348501.05968995095]"
2025-11-01,243109.51949960223,"[139647.732355606, 346571.3066435985]"
2025-12-01,250361.23311842134,"[140897.89665946353, 359824.56957737915]"
2026-01-01,243759.06582906088,"[129189.5635258883, 358328.56813223346]"
2026-02-01,250157.6116482192,"[130039.97603386997, 370275.24726256845]"
2026-03-01,244270.82496449223,"[119324.32076678301, 369217.32916220144]"
2026-04-01,249906.2688303619,"[119757.58695515551, 380054.9507055683]"
2026-05-01,244648.9908845169,"[109886.82339093823, 379411.1583780956]"
2026-06-01,249602.5793593861,"[109911.37151258063, 389293.78720619157]"
2026-07-01,244898.16930083858,"[100766.42696283021, 389029.91163884697]"
2026-08-01,249242.11388165108,"[100402.64171473947, 398081.58604856266]"
2026-09-01,245022.56494952418,"[91884.99266629494, 398160.13723275345]"
2026-10-01,248820.90086632088,"[91158.57525242883, 406483.22648021294]"
2026-11-01,245025.9217401146,"[83185.163248131, 406866.6802320982]"
2026-12-01,248335.41369725842,"[82123.65170002545, 414547.17569449136]"
2027-01-01,244911.56059995422,"[74623.54259821688, 415199.5786016915]"
2027-02-01,247782.52551251455,"[73254.4217035142, 422310.62932151486]"
