date,prediction,confidence_interval
2025-03-01,241998.0116549815,"[207633.06112616102, 276362.962183802]"
2025-04-01,247142.4784015911,"[211244.01498154056, 283040.94182164164]"
2025-05-01,240714.9948839363,"[203182.1885829041, 278247.8011849685]"
2025-06-01,239630.8087530203,"[199712.85864081682, 279548.7588652238]"
2025-07-01,244544.0193632175,"[201064.1644333644, 288023.8742930706]"
2025-08-01,245534.19561749752,"[200061.54161320283, 291006.8496217922]"
2025-09-01,245159.33589248313,"[197666.49077805728, 292652.18100690894]"
2025-10-01,246143.7190134587,"[196515.13241888484, 295772.30560803256]"
2025-11-01,247762.7261527508,"[196010.68477464694, 299514.7675308547]"
2025-12-01,248626.91013600052,"[194998.45629787925, 302255.36397412175]"
2026-01-01,249393.29095208948,"[193918.38145158766, 304868.2004525913]"
2026-02-01,250430.74426515744,"[193136.39330439354, 307725.09522592137]"
2026-03-01,251506.1031748643,"[192449.9240089808, 310562.2823407478]"
2026-04-01,252450.9589184087,"[191704.77831083047, 313197.1395259869]"
2026-05-01,253404.03365871805,"[191005.97361311107, 315802.09370432503]"
2026-06-01,254403.66622238344,"[190391.92867983645, 318415.40376493044]"
2026-07-01,255398.24739951317,"[189814.34132071858, 320982.15347830777]"
2026-08-01,256372.48166302915,"[189255.67018406765, 323489.29314199067]"
2026-09-01,257352.12319407228,"[188735.14400167926, 325969.1023864653]"
2026-10-01,258338.77378421044,"[188253.24495467416, 328424.3026137467]"
2026-11-01,259322.8703951498,"[187799.3962263174, 330846.3445639822]"
2026-12-01,260304.15522148449,"[187371.3252997928, 333236.98514317616]"
2027-01-01,261286.9223254371,"[186971.19456452102, 335602.6500863532]"
2027-02-01,262270.59027403133,"[186597.1992154392, 337943.98133262346]"
