date,prediction,confidence_interval
2025-03-01,294664.8930133705,"[254106.46856969097, 335223.3174570501]"
2025-04-01,306655.75472305453,"[248499.57912462417, 364811.9303214849]"
2025-05-01,323298.1224642047,"[245323.39787656546, 401272.8470518439]"
2025-06-01,330289.8506979758,"[225923.49460863558, 434656.206787316]"
2025-07-01,338467.73591571697,"[203708.74811169846, 473226.7237197355]"
2025-08-01,351146.49462992465,"[186444.0288330811, 515848.9604267682]"
2025-09-01,361652.08110718493,"[163965.42114373014, 559338.7410706397]"
2025-10-01,370789.1018621766,"[137418.41999470413, 604159.7837296491]"
2025-11-01,381572.4014982433,"[111020.60926812381, 652124.1937283627]"
2025-12-01,392522.22118706966,"[83218.29159033886, 701826.1507838005]"
2026-01-01,402661.54920431075,"[52536.581740891386, 752786.5166677302]"
2026-02-01,413088.4447165378,"[20512.459894888743, 805664.4295381869]"
2026-03-01,423889.0924786008,"[-12613.12399312004, 860391.3089503216]"
2026-04-01,434486.3143308945,"[-47527.999890974024, 916500.628552763]"
2026-05-01,445045.09395239555,"[-84018.16971664451, 974108.3576214355]"
2026-06-01,455794.40643512656,"[-121718.31677066989, 1033307.129640923]"
2026-07-01,466568.45661186264,"[-160788.35526240803, 1093925.2684861333]"
2026-08-01,477313.3608692305,"[-201269.26353679964, 1155895.9852752606]"
2026-09-01,488131.21763488447,"[-242999.43549849378, 1219261.8707682628]"
2026-10-01,499012.0097403722,"[-285950.81669982476, 1283974.8361805691]"
2026-11-01,509908.3548307037,"[-330154.17168729834, 1349970.8813487059]"
2026-12-01,520842.46674063604,"[-375555.92285575066, 1417240.8563370227]"
2027-01-01,531829.9143941399,"[-422108.57147647743, 1485768.4002647572]"
2027-02-01,542853.9831161815,"[-469806.99639555276, 1555514.9626279157]"
