date,prediction,confidence_interval
2025-03-01,297218.67546290834,"[282339.18984982173, 312098.16107599495]"
2025-04-01,298180.5240993212,"[281431.30757932435, 314929.7406193181]"
2025-05-01,297392.990942779,"[277297.75021015154, 317488.23167540645]"
2025-06-01,297446.80288277357,"[275252.03703874076, 319641.5687268064]"
2025-07-01,297097.30214322504,"[272675.28778513265, 321519.31650131743]"
2025-08-01,296942.4535534349,"[270634.7113676987, 323250.1957391712]"
2025-09-01,296694.97617895924,"[268573.15044033655, 324816.80191758194]"
2025-10-01,296492.8851162966,"[266705.29796470463, 326280.47226788854]"
2025-11-01,296269.8717446856,"[264900.0944641674, 327639.6490252037]"
2025-12-01,296057.79009387875,"[263196.0107415881, 328919.5694461694]"
2026-01-01,295841.3342062052,"[261557.30988444347, 330125.35852796695]"
2026-02-01,295627.8550649971,"[259986.91699973313, 331268.79313026107]"
2026-03-01,295413.8186525493,"[258472.2254526116, 332355.411852487]"
2026-04-01,295200.920406875,"[257009.99457952613, 333391.8462342239]"
2026-05-01,294988.34340052225,"[255594.09347087177, 334382.59333017276]"
2026-06-01,294776.47772098554,"[254220.9654207839, 335331.9900211872]"
2026-07-01,294565.13357967255,"[252886.7852574585, 336243.4819018866]"
2026-08-01,294354.39978270105,"[251588.62222160416, 337120.1773437979]"
2026-09-01,294144.23129827535,"[250323.74482280528, 337964.7177737454]"
2026-10-01,293934.64740046323,"[249089.84149798536, 338779.4533029411]"
2026-11-01,293725.63647554483,"[247884.82927770115, 339566.4436733885]"
2026-12-01,293517.2017556013,"[246706.8764239707, 340327.52708723187]"
2027-01-01,293309.33934684313,"[245554.33661894113, 341064.3420747451]"
2027-02-01,293102.0487853783,"[244425.7357020534, 341778.36186870316]"
