date,prediction,confidence_interval
2025-03-01,181894.07244527535,"[154347.02781516564, 209441.11707538506]"
2025-04-01,181419.49496428805,"[146973.25956515793, 215865.73036341817]"
2025-05-01,181558.3702163851,"[140356.21257040068, 222760.52786236955]"
2025-06-01,181523.2012742421,"[134680.35376936907, 228366.04877911514]"
2025-07-01,181515.19863571983,"[129532.82643677076, 233497.5708346689]"
2025-08-01,181482.95173266923,"[124783.85985945722, 238182.04360588122]"
2025-09-01,181439.59629381975,"[120334.72358093737, 242544.46900670213]"
2025-10-01,181381.77605652995,"[116122.38837531893, 246641.16373774098]"
2025-11-01,181310.34856735473,"[112101.63659281928, 250519.06054189015]"
2025-12-01,181225.0947176687,"[108239.12727873164, 254211.06215660574]"
2026-01-01,181126.07049112595,"[104509.41249268339, 257742.72848956852]"
2026-02-01,181013.2615835451,"[100892.56040885033, 261133.96275823988]"
2026-03-01,180886.67164973594,"[97372.62686580328, 264400.7164336686]"
2026-04-01,180746.29975587118,"[93936.62725861247, 267555.9722531299]"
2026-05-01,180592.14614054965,"[90573.82688796728, 270610.465393132]"
2026-06-01,180424.21074280783,"[87275.2350255102, 273573.18646010547]"
2026-07-01,180242.4935782223,"[84033.23626408435, 276451.7508923602]"
2026-08-01,180046.9946428131,"[80841.31601934618, 279252.67326628004]"
2026-09-01,179837.71393759723,"[77693.85247104919, 281981.5754041453]"
2026-10-01,179614.65146231477,"[74585.95629414974, 284643.3466304798]"
2026-11-01,179377.80721703212,"[71513.34543835816, 287242.2689957061]"
2026-12-01,179127.18120173234,"[68472.24603441483, 289782.1163690499]"
2027-01-01,178862.77341641978,"[65459.31307093556, 292266.233761904]"
2027-02-01,178584.5838610933,"[62471.56623385314, 294697.6014883334]"
