date,prediction,confidence_interval
2025-03-01,248666.67728955706,"[145874.18573391403, 351459.1688452001]"
2025-04-01,234632.70242726884,"[100041.18305451062, 369224.22180002707]"
2025-05-01,206452.2236077906,"[52536.76738686548, 360367.67982871574]"
2025-06-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2025-07-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2025-08-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2025-09-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2025-10-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2025-11-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2025-12-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-01-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-02-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-03-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-04-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-05-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-06-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-07-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-08-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-09-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-10-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-11-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2026-12-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2027-01-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
2027-02-01,193908.88251575688,"[34391.24959684751, 353426.51543466625]"
