date,prediction,confidence_interval
2025-03-01,296170.89854970947,"[223123.52995710884, 369218.2671423101]"
2025-04-01,297158.9154248022,"[223152.68448236558, 371165.14636723883]"
2025-05-01,298137.14965391107,"[223104.1285760498, 373170.1707317723]"
2025-06-01,299109.34010605305,"[222981.15529103647, 375237.5249210696]"
2025-07-01,300071.7479123061,"[222779.71157503186, 377363.78424958035]"
2025-08-01,301028.11194149725,"[222503.4964502946, 379552.7274326999]"
2025-09-01,301974.6933248944,"[222148.8335130157, 381800.5531367731]"
2025-10-01,302915.23093113484,"[221719.7734728005, 384110.6883894692]"
2025-11-01,303845.9858916762,"[221212.95834319806, 386479.0134401544]"
2025-12-01,304770.6970749658,"[220632.7288689448, 388908.6652809868]"
2026-01-01,305685.62561265135,"[219975.98279659922, 391395.2684287035]"
2026-02-01,306594.5103729901,"[219247.28756037814, 393941.73318560206]"
2026-03-01,307493.61248781986,"[218443.73470398466, 396543.490271655]"
2026-04-01,308386.6708252079,"[217570.057924751, 399203.28372566483]"
2026-05-01,309269.9465171818,"[216623.48530070047, 401916.40773366316]"
2026-06-01,310147.178431619,"[215608.86249638215, 404685.4943668559]"
2026-07-01,311014.6277007371,"[214523.50402272493, 407505.75137874926]"
2026-08-01,311876.0331922235,"[213372.32115211326, 410379.7452323338]"
2026-09-01,312727.6560384858,"[212152.6730627549, 413302.6390142167]"
2026-10-01,313573.23510702146,"[210869.4988299534, 416276.97138408956]"
2026-11-01,314409.031530428,"[209520.1690099794, 419297.89405087655]"
2026-12-01,315238.7841760128,"[208109.6209767998, 422367.9473752258]"
2027-01-01,316058.75417656347,"[206635.21128670988, 425482.29706641706]"
2027-02-01,316872.68039919756,"[205101.85360485752, 428643.5071935376]"
