date,prediction,confidence_interval
2025-03-01,222584.1672975486,"[205508.38536437703, 239659.9492307202]"
2025-04-01,223101.68081374728,"[199283.10170496692, 246920.25992252765]"
2025-05-01,223725.46598532423,"[194733.27152952997, 252717.6604411185]"
2025-06-01,224344.32632671503,"[190968.88239449414, 257719.77025893593]"
2025-07-01,224962.7684250827,"[187716.26332020693, 262209.27352995845]"
2025-08-01,225581.24771022893,"[184829.76924609905, 266332.7261743588]"
2025-09-01,226199.72815105147,"[182221.73555086734, 270177.7207512356]"
2025-10-01,226818.20836623068,"[179834.75728878222, 273801.65944367915]"
2025-11-01,227436.6885816011,"[177628.8024882727, 277244.57467492955]"
2025-12-01,228055.16879814232,"[175574.6356549266, 280535.70194135804]"
2026-01-01,228673.6490146503,"[173650.13403325816, 283697.1639960424]"
2026-02-01,229292.12923115306,"[171838.0776523573, 286746.1808099488]"
2026-03-01,229910.60944765614,"[170124.75087951016, 289696.46801580215]"
2026-04-01,230529.08966415926,"[168499.01851603153, 292559.16081228695]"
2026-05-01,231147.56988066237,"[166951.6933109541, 295343.4464503706]"
2026-06-01,231766.05009716548,"[165475.08985020083, 298057.0103441301]"
2026-07-01,232384.5303136686,"[164062.701793231, 300706.3588341062]"
2026-08-01,233003.0105301717,"[162708.96316990437, 303297.05789043906]"
2026-09-01,233621.49074667483,"[161409.06843445112, 305833.9130588985]"
2026-10-01,234239.97096317794,"[160158.83451056693, 308321.1074157889]"
2026-11-01,234858.45117968105,"[158954.59343831323, 310762.3089210489]"
2026-12-01,235476.93139618417,"[157793.10771368747, 313160.7550786809]"
2027-01-01,236095.41161268728,"[156671.50271968037, 315519.3205056942]"
2027-02-01,236713.8918291904,"[155587.2122117175, 317840.5714466633]"
