date,prediction,confidence_interval
2025-03-01,254533.67106850632,"[207449.54621077405, 301617.7959262386]"
2025-04-01,246360.61432585132,"[194040.7910073732, 298680.43764432945]"
2025-05-01,263932.3790352529,"[205047.63331270486, 322817.12475780095]"
2025-06-01,258204.35453835945,"[191957.60884221026, 324451.10023450863]"
2025-07-01,262938.5960554392,"[186019.62800910528, 339857.56410177314]"
2025-08-01,268009.1359398677,"[183696.9837548589, 352321.2881248765]"
2025-09-01,273948.76534970285,"[182239.46068365694, 365658.07001574873]"
2025-10-01,275729.81373842596,"[175367.5826589626, 376092.04481788934]"
2025-11-01,280179.85415395285,"[170799.92119249504, 389559.78711541067]"
2025-12-01,285731.06262512354,"[168105.64441210087, 403356.4808381462]"
2026-01-01,290426.0081761244,"[164314.48324433324, 416537.5331079156]"
2026-02-01,294406.69598694384,"[159215.5142539851, 429597.87771990255]"
2026-03-01,299513.92354652996,"[155199.3124642626, 443828.5346287973]"
2026-04-01,304996.2184851687,"[151681.97592019246, 458310.461050145]"
2026-05-01,310039.076152001,"[147470.37749591193, 472607.77480809006]"
2026-06-01,315123.2028753826,"[143016.8245188659, 487229.5812318993]"
2026-07-01,320743.0295640919,"[139037.44245145665, 502448.6166767271]"
2026-08-01,326482.95869221404,"[135103.60157683643, 517862.31580759166]"
2026-09-01,332124.1821564497,"[130865.09841535625, 533383.2658975432]"
2026-10-01,337948.033504728,"[126634.0039360332, 549262.0630734228]"
2026-11-01,344051.77450338483,"[122582.4218433855, 565521.1271633841]"
2026-12-01,350241.2332256701,"[118488.20549913478, 581994.2609522054]"
2027-01-01,356489.48739251035,"[114285.64486687173, 598693.3299181489]"
2027-02-01,362920.207984363,"[110123.47634234003, 615716.939626386]"
