date,prediction,confidence_interval
2025-03-01,361839.3477185454,"[347002.217234279, 376676.4782028118]"
2025-04-01,363298.161648453,"[341828.10004759673, 384768.22324930923]"
2025-05-01,364669.1158590593,"[338085.40078301413, 391252.8309351045]"
2025-06-01,366019.7845378517,"[335139.9478010367, 396899.6212746667]"
2025-07-01,367365.769582275,"[332714.67548898864, 402016.8636755614]"
2025-08-01,368710.6732436168,"[330659.4813155744, 406761.8651716593]"
2025-09-01,370055.3272293271,"[328883.7089726646, 411226.9454859896]"
2025-10-01,371399.92356856406,"[327328.2281358221, 415471.619001306]"
2025-11-01,372744.5065980684,"[325952.1217886559, 419536.8914074809]"
2025-12-01,374089.086554549,"[324725.7359084296, 423452.4372006684]"
2026-01-01,375433.6658015131,"[323626.77882864024, 427240.552774386]"
2026-02-01,376778.2448846602,"[322637.9946280176, 430918.49514130276]"
2026-03-01,378122.8239299843,"[321745.7021516127, 434499.94570835587]"
2026-04-01,379467.40296657564,"[320938.8370977071, 437995.9688354442]"
2026-05-01,380811.98200115067,"[320208.3007150015, 441415.66328729986]"
2026-06-01,382156.5610352602,"[319546.50315135444, 444766.618919166]"
2026-07-01,383501.14006926224,"[318947.03476971557, 448055.2453688089]"
2026-08-01,384845.7191032395,"[318404.4241593171, 451287.01404716185]"
2026-09-01,386190.29813721095,"[317913.95643215225, 454466.63984226965]"
2026-10-01,387534.87717118114,"[317471.5344060328, 457598.21993632946]"
2026-11-01,388879.456205151,"[317073.5709155217, 460685.34149478027]"
2026-12-01,390224.03523912077,"[316716.9041222819, 463731.16635595966]"
2027-01-01,391568.61427309056,"[316398.7300917983, 466738.4984543828]"
2027-02-01,392913.19330706034,"[316116.548519481, 469709.8380946397]"
