date,prediction,confidence_interval
2025-03-01,385314.91195647046,"[360112.49105482636, 410517.33285811456]"
2025-04-01,384720.77453765523,"[351252.3302133113, 418189.21886199916]"
2025-05-01,385110.4023310428,"[346097.92731507425, 424122.87734701135]"
2025-06-01,385413.5089564134,"[340134.76446522534, 430692.2534476015]"
2025-07-01,385503.30784280406,"[333926.1508346193, 437080.4648509888]"
2025-08-01,385600.14884479233,"[327942.8690332846, 443257.42865630006]"
2025-09-01,385682.16786808375,"[321932.5198194192, 449431.8159167483]"
2025-10-01,385713.7747882802,"[315815.13920576044, 455612.41037079995]"
2025-11-01,385706.1961963278,"[309616.28013169195, 461796.11226096365]"
2025-12-01,385663.612249901,"[303323.377660807, 468003.846838995]"
2026-01-01,385583.13076142274,"[296919.36231154855, 474246.8992112969]"
2026-02-01,385464.5814490748,"[290398.90951149294, 480530.25338665664]"
2026-03-01,385308.524635109,"[283758.26533022855, 486858.78393998946]"
2026-04-01,385114.87707578245,"[276993.4883473474, 493236.2658042175]"
2026-05-01,384883.5539039463,"[270101.9732291923, 499665.1345787003]"
2026-06-01,384614.5875435623,"[263082.0569326337, 506147.1181544909]"
2026-07-01,384307.98681038653,"[255932.53701279667, 512683.4366079764]"
2026-08-01,383963.74401516013,"[248652.6239176435, 519274.86411267676]"
2026-09-01,383581.8591227528,"[241241.8797572661, 525921.8384882394]"
2026-10-01,383162.33353775286,"[233700.12219525024, 532624.5448802555]"
2026-11-01,382705.16698029794,"[226027.36574735356, 539382.9682132424]"
2026-12-01,382210.3592521556,"[218223.78254748412, 546196.935956827]"
2027-01-01,381677.91044458596,"[210289.66795325693, 553066.1529359149]"
2027-02-01,381107.82057501713,"[202225.41324581072, 559990.2279042236]"
