date,prediction,confidence_interval
2025-03-01,195991.73859734586,"[172831.05955141434, 219152.41764327738]"
2025-04-01,196853.62908203283,"[170566.61371954018, 223140.64444452547]"
2025-05-01,197828.14199975532,"[168674.51785743702, 226981.7661420736]"
2025-06-01,198709.0636573827,"[167003.34646488528, 230414.78084988013]"
2025-07-01,199667.76132934488,"[165556.67011359177, 233778.852545098]"
2025-08-01,200561.8257396151,"[164238.42562351082, 236885.22585571939]"
2025-09-01,201509.6015486073,"[163074.18710099522, 239945.01599621936]"
2025-10-01,202412.7422227301,"[161996.74818530574, 242828.73626015446]"
2025-11-01,203352.97549381023,"[161032.14235341776, 245673.8086342027]"
2025-12-01,204262.38415210348,"[160132.2878262847, 248392.48047792225]"
2026-01-01,205197.40861601298,"[159318.60411007443, 251076.21312195153]"
2026-02-01,206111.1458864091,"[158556.50653911638, 253665.7852337018]"
2026-03-01,207042.57319609053,"[157862.2492704933, 256222.89712168774]"
2026-04-01,207959.29976611273,"[157210.91710910792, 258707.68242311754]"
2026-05-01,208888.24291423534,"[156614.31932495863, 261162.16650351204]"
2026-06-01,209807.03386703014,"[156054.48367118064, 263559.5840628797]"
2026-07-01,210734.26147607408,"[155539.7394558292, 265928.78349631897]"
2026-08-01,211654.47807258647,"[155057.09536765103, 268251.8607775219]"
2026-09-01,212580.52094615294,"[154612.2824675445, 270548.7594247614]"
2026-10-01,213501.72207907808,"[154195.8786794381, 272807.5654787181]"
2026-11-01,214426.94678524227,"[153811.73027568994, 275042.1632947946]"
2026-12-01,215348.82782994062,"[153452.97132794608, 277244.68433193513]"
2027-01-01,216273.48751723694,"[153122.10836097028, 279424.8666735036]"
2027-02-01,217195.8381027399,"[152814.10655405026, 281577.56965142954]"
