date,prediction,confidence_interval
2025-03-01,247731.7825086423,"[206702.12466467812, 288761.44035260647]"
2025-04-01,234023.27141994843,"[186131.0806629987, 281915.4621768982]"
2025-05-01,240280.04493496916,"[182925.77174702307, 297634.3181229152]"
2025-06-01,238450.58943430663,"[174163.46483704864, 302737.71403156465]"
2025-07-01,239872.42902963737,"[168798.56332697347, 310946.29473230126]"
2025-08-01,239963.29929391952,"[162799.20373428715, 317127.3948535519]"
2025-09-01,240575.2048687757,"[157638.06373173604, 323512.3460058154]"
2025-10-01,240959.62474517155,"[152590.11090307095, 329329.13858727214]"
2025-11-01,241419.08716108973,"[147865.54861928057, 334972.6257028989]"
2025-12-01,241831.31988412494,"[143315.60723988598, 340347.03252836387]"
2026-01-01,242245.7414377085,"[138952.79554749525, 345538.68732792174]"
2026-02-01,242642.37843614118,"[134734.49364936235, 350550.26322292]"
2026-03-01,243029.30348274237,"[130648.02934432907, 355410.57762115565]"
2026-04-01,243403.25388958657,"[126674.15828077459, 360132.34949839854]"
2026-05-01,243765.54833072206,"[122800.5435607816, 364730.55310066254]"
2026-06-01,244115.65384029818,"[119015.32882709269, 369215.9788535037]"
2026-07-01,244453.785826056,"[115309.04849999116, 373598.5231521209]"
2026-08-01,244779.85722707998,"[111673.33562675584, 377886.3788274041]"
2026-09-01,245093.9032306061,"[108101.05371051148, 382086.75275070075]"
2026-10-01,245395.90961507964,"[104585.94174218358, 386205.8774879757]"
2026-11-01,245685.88212839788,"[101122.52260344935, 390249.2416533464]"
2026-12-01,245963.8184474447,"[97705.95402258367, 394221.68287230574]"
2027-01-01,246229.7195111493,"[94331.94002103098, 398127.4990012676]"
2027-02-01,246483.58494002654,"[90996.64638819694, 401970.5234918562]"
