date,prediction,confidence_interval
2025-03-01,456020.4662224486,"[432019.67217584956, 480021.2602690477]"
2025-04-01,448878.3716555639,"[415039.36616096745, 482717.3771501603]"
2025-05-01,449276.70010959543,"[408089.94805166597, 490463.4521675249]"
2025-06-01,448791.5651187132,"[404769.39982428704, 492813.73041313933]"
2025-07-01,448308.32684601145,"[401642.83585030976, 494973.81784171314]"
2025-08-01,447826.97787594626,"[398679.0959536312, 496974.8597982613]"
2025-09-01,447347.51082196605,"[395854.7503647363, 498840.2712791958]"
2025-10-01,446869.91832639807,"[393151.64600070077, 500588.19065209536]"
2025-11-01,446394.1930603358,"[390555.3725455721, 502233.0135750995]"
2025-12-01,445920.32772352634,"[388054.2588715495, 503786.39657550317]"
2026-01-01,445448.3150442582,"[385638.69145002944, 505257.93863848696]"
2026-02-01,444978.1477792501,"[383300.63676036533, 506655.6587981349]"
2026-03-01,444509.8187135395,"[381033.2976484502, 507986.33977862884]"
2026-04-01,444043.320660372,"[378830.86036291963, 509255.7809578243]"
2026-05-01,443578.646461091,"[376688.3046124608, 510468.98830972123]"
2026-06-01,443115.78898502805,"[374601.2584397913, 511630.3195302648]"
2026-07-01,442654.74112939305,"[372565.8856168447, 512743.5966419414]"
2026-08-01,442195.49581916566,"[370578.7970657318, 513812.19457259955]"
2026-09-01,441738.04600698646,"[368636.9803157848, 514839.1116981881]"
2026-10-01,441282.38467304886,"[366737.742696538, 515827.02664955973]"
2026-11-01,440828.50482499145,"[364878.66512873385, 516778.34452124906]"
2026-12-01,440376.3994977906,"[363057.56418950635, 517695.2348060749]"
2027-01-01,439926.06175365375,"[361272.4607075005, 518579.662799807]"
2027-02-01,439477.4846819127,"[359521.5535625599, 519433.4158012655]"
