date,prediction,confidence_interval
2025-03-01,300788.51930292667,"[248028.2346571444, 353548.8039487089]"
2025-04-01,301302.39077009726,"[247223.75279904073, 355381.02874115383]"
2025-05-01,309385.2753068885,"[254266.5483556749, 364504.0022581021]"
2025-06-01,299029.84914872353,"[243380.87062715227, 354678.8276702948]"
2025-07-01,313338.4450336109,"[256777.62422054488, 369899.26584667695]"
2025-08-01,306432.117592313,"[249182.66881294065, 363681.5663716853]"
2025-09-01,309310.894692512,"[251439.92788495836, 367181.86150006566]"
2025-10-01,317351.40554820385,"[258564.6624245255, 376138.1486718822]"
2025-11-01,307505.55705045006,"[248215.77703281297, 366795.3370680872]"
2025-12-01,321255.1335438286,"[261117.06987517825, 381393.19721247896]"
2026-01-01,314760.98613388697,"[253972.37733506822, 375549.59493270575]"
2026-02-01,317529.7010738065,"[256152.40404846723, 378906.99809914577]"
2026-03-01,325341.75444752775,"[263108.67378910887, 387574.83510594664]"
2026-04-01,315970.19990211277,"[253254.16728064028, 378686.23252358526]"
2026-05-01,329184.0744125755,"[265672.79037592106, 392695.35844922997]"
2026-06-01,323082.5197129696,"[258952.71650585707, 387212.32292008214]"
2026-07-01,325748.33740519074,"[261057.48040811607, 390439.1944022654]"
2026-08-01,333339.59107934975,"[267843.8724328326, 398835.3097258669]"
2026-09-01,324423.0098132442,"[258461.30596833525, 390384.7136581532]"
2026-10-01,337124.62360538373,"[270412.9340583952, 403836.31315237225]"
2026-11-01,331397.0741022659,"[264094.3125870645, 398699.83561746724]"
2026-12-01,333966.7544337294,"[266126.61702725326, 401806.8918402055]"
2027-01-01,341344.6361066423,"[272743.54515429185, 409945.7270589928]"
2027-02-01,332864.4821886685,"[263811.9959656261, 401916.9684117109]"
