date,prediction,confidence_interval
2025-03-01,179257.5200728764,"[155916.88464451474, 202598.15550123804]"
2025-04-01,182171.1616310912,"[150189.70453627006, 214152.61872591235]"
2025-05-01,184755.08578068763,"[144690.24192602682, 224819.92963534844]"
2025-06-01,187599.4438554179,"[139353.4016579451, 235845.4860528907]"
2025-07-01,190675.03328542155,"[133612.5654670025, 247737.5011038406]"
2025-08-01,194129.41539354288,"[127254.00140146793, 261004.8293856178]"
2025-09-01,197984.21284715517,"[120015.6115120267, 275952.81418228365]"
2025-10-01,202381.11709109618,"[111797.16538813159, 292965.0687940608]"
2025-11-01,207342.46199107653,"[102419.67165425651, 312265.25232789654]"
2025-12-01,213009.81976994316,"[91845.17905781679, 334174.4604820695]"
2026-01-01,219405.57557220236,"[79944.2001876896, 358866.95095671515]"
2026-02-01,226671.2581518395,"[66718.33964032546, 386624.1766633535]"
2026-03-01,234829.29521263667,"[52069.4664331231, 417589.12399215024]"
2026-04-01,244021.1730670635,"[36023.91580930434, 452018.43032482266]"
2026-05-01,254269.36183352536,"[18502.927129226795, 490035.7965378239]"
2026-06-01,265715.305426329,"[-451.8527838756563, 531882.4636365337]"
2026-07-01,278381.51634678396,"[-20907.081520339823, 577670.1142139077]"
2026-08-01,292409.39614140923,"[-42811.29858952708, 627630.0908723455]"
2026-09-01,307821.4996642069,"[-66223.1950902784, 681866.1944186921]"
2026-10-01,324759.1861240911,"[-91084.59521802783, 740602.96746621]"
2026-11-01,343245.0526975866,"[-117448.55338910187, 803938.6587842751]"
2026-12-01,363420.41628616187,"[-145251.94754233275, 872092.7801146565]"
2027-01-01,385307.9163587158,"[-174543.54801555065, 945159.3807329822]"
2027-02-01,409048.8275394087,"[-205256.3450060205, 1023354.0000848379]"
