date,prediction,confidence_interval
2025-03-01,158.9185952767499,"[140.69520633110983, 177.14198422238996]"
2025-04-01,165.2105550296928,"[138.10210702338122, 192.3190030360044]"
2025-05-01,175.31614028027633,"[136.00865915666836, 214.6236214038843]"
2025-06-01,177.4062887331118,"[122.51407336125384, 232.29850410496977]"
2025-07-01,185.00467335982353,"[114.70320047938432, 255.30614624026273]"
2025-08-01,191.26044757083017,"[103.40500578490142, 279.1158893567589]"
2025-09-01,196.26784311609683,"[89.58481394386611, 302.95087228832756]"
2025-10-01,203.0134143252381,"[76.62173348879675, 329.40509516167947]"
2025-11-01,208.77087818138295,"[61.30542230440392, 356.236334058362]"
2025-12-01,214.65149055453458,"[45.149041519555794, 384.15393958951336]"
2026-01-01,220.87875273572536,"[28.356271570566946, 413.40123390088377]"
2026-02-01,226.75362535935625,"[10.190274976277493, 443.31697574243503]"
2026-03-01,232.8041445159442,"[-8.685731455407364, 474.2940204872957]"
2026-04-01,238.86914022007628,"[-28.449956695492602, 506.1882371356452]"
2026-05-01,244.85673806254349,"[-49.161038355123225, 538.8745144802102]"
2026-06-01,250.9217589251259,"[-70.61861313047984, 572.4621309807317]"
2026-07-01,256.9662515031933,"[-92.91316985306156, 606.8456728594481]"
2026-08-01,263.0088390206084,"[-115.99615385326945, 642.0138318944862]"
2026-09-01,269.0766963100793,"[-139.8186194337249, 677.9720120538834]"
2026-10-01,275.1370523359557,"[-164.39800979469317, 714.6721144666045]"
2026-11-01,281.2071761707649,"[-189.6961725514488, 752.1105248929787]"
2026-12-01,287.2862392559606,"[-215.69828550485863, 790.2707640167798]"
2027-01-01,293.3672444815236,"[-242.3962437516716, 829.1307327147188]"
2027-02-01,299.45685164643425,"[-269.7680262629253, 868.6817295557937]"
