date,prediction,confidence_interval
2025-03-01,157.31039686073524,"[67.90087970438101, 246.71991401708948]"
2025-04-01,165.89138904685706,"[-8.296788550351806, 340.07956664406595]"
2025-05-01,179.54178814905185,"[-117.228833370426, 476.3124096685297]"
2025-06-01,196.1481354860553,"[-274.0048360661481, 666.3011070382587]"
2025-07-01,212.10394646554096,"[-485.76666715324745, 909.9745600843294]"
2025-08-01,235.24577146159044,"[-730.7337576320704, 1201.2253005552514]"
2025-09-01,260.2850241393879,"[-1033.8360296560074, 1554.406077934783]"
2025-10-01,287.65114128849757,"[-1394.0988317028318, 1969.4011142798267]"
2025-11-01,318.4908410033994,"[-1810.0871048512754, 2447.0687868580744]"
2025-12-01,353.66332311755315,"[-2284.2808605647906, 2991.6075067998972]"
2026-01-01,390.6155820141465,"[-2826.261332671613, 3607.4924966999065]"
2026-02-01,431.2624829251036,"[-3432.4310764519523, 4294.956042302159]"
2026-03-01,475.46378773680556,"[-4106.47807579348, 5057.405651267091]"
2026-04-01,522.7250492158461,"[-4852.43483813555, 5897.884936567243]"
2026-05-01,572.9145103508117,"[-5672.480053828515, 6818.309074530139]"
2026-06-01,626.8876659094469,"[-6566.939896512053, 7820.715228330946]"
2026-07-01,683.9792670055539,"[-7540.009154894573, 8907.967688905681]"
2026-08-01,744.2743705830932,"[-8593.46787242551, 10082.016613591695]"
2026-09-01,808.0028314523395,"[-9728.863289854311, 11344.868952758989]"
2026-10-01,875.1833804948725,"[-10948.426969198352, 12698.793730188097]"
2026-11-01,945.5619288581515,"[-12254.752179652543, 14145.876037368846]"
2026-12-01,1019.4010593064952,"[-13649.165734632525, 15687.967853245516]"
2027-01-01,1096.68634645556,"[-15133.741612409474, 17327.114305320592]"
2027-02-01,1177.3505503358174,"[-16710.57034128064, 19065.271441952274]"
