date,prediction,confidence_interval
2025-03-01,194.4915429977109,"[183.63162269250398, 205.3514633029178]"
2025-04-01,195.51724734289277,"[174.4065511893694, 216.62794349641615]"
2025-05-01,196.70021308503573,"[158.4370803068772, 234.96334586319426]"
2025-06-01,199.28092865553202,"[137.78729978091167, 260.7745575301524]"
2025-07-01,201.77109766275137,"[110.53393815664955, 293.0082571688532]"
2025-08-01,206.00750060279393,"[77.99108052754423, 334.0239206780436]"
2025-09-01,210.53377320227295,"[37.96565963216173, 383.1018867723842]"
2025-10-01,216.17734164780254,"[-8.844218168492006, 441.19890146409705]"
2025-11-01,222.65091361477675,"[-63.35078705998126, 508.65261428953477]"
2025-12-01,230.06266679516082,"[-125.78397931527863, 585.9093129056002]"
2026-01-01,238.35613937308892,"[-196.5936761273161, 673.3059548734939]"
2026-02-01,247.64212986168243,"[-276.04568556895117, 771.329945292316]"
2026-03-01,257.84742335349534,"[-364.580425842471, 880.2752725494618]"
2026-04-01,269.0450284413198,"[-462.45933194215127, 1000.5493888247909]"
2026-05-01,281.22550901077267,"[-570.0380413601001, 1132.4890593816456]"
2026-06-01,294.4127763172159,"[-687.614070308684, 1276.4396229431159]"
2026-07-01,308.6187942142669,"[-815.4929538392948, 1432.7305422678287]"
2026-08-01,323.86415155925374,"[-953.9622840105426, 1601.69058712905]"
2026-09-01,340.1595996360785,"[-1103.3116003313926, 1783.6307996035493]"
2026-10-01,357.5247623399284,"[-1263.8135303746226, 1978.8630550544794]"
2026-11-01,375.973528712232,"[-1435.7406548742306, 2187.6877122986944]"
2026-12-01,395.5224541037474,"[-1619.3556980778528, 2410.4006062853477]"
2027-01-01,416.1871265700084,"[-1814.9167659400969, 2647.2910190801135]"
2027-02-01,437.9836247608918,"[-2022.6757784530528, 2898.6430279748365]"
