date,prediction,confidence_interval
2025-03-01,115.50030794088877,"[78.93942241069428, 152.06119347108327]"
2025-04-01,96.43383509802756,"[50.160333684876846, 142.70733651117826]"
2025-05-01,100.41541611357152,"[31.934541636831113, 168.89629059031193]"
2025-06-01,97.16123204257927,"[2.4304694022618776, 191.89199468289667]"
2025-07-01,87.46869937784497,"[-29.655677475720765, 204.5930762314107]"
2025-08-01,90.63681149522192,"[-57.82135515937763, 239.0949781498215]"
2025-09-01,82.50610587214588,"[-95.45671588911107, 260.4689276334028]"
2025-10-01,79.73151575307695,"[-130.15576576765346, 289.6187972738074]"
2025-11-01,78.09916978533015,"[-167.2846926478437, 323.48303221850404]"
2025-12-01,71.61706893824753,"[-208.68599211037343, 351.9201299868685]"
2026-01-01,70.4417536470759,"[-248.04031076791497, 388.92381806206674]"
2026-02-01,66.15138911663284,"[-291.58566532784573, 423.88844356111144]"
2026-03-01,62.25602203785632,"[-335.8203059620655, 460.33235003777816]"
2026-04-01,60.09716086105792,"[-380.5747895230769, 500.7691112451928]"
2026-05-01,55.68255234960681,"[-428.3004656408755, 539.6655703400891]"
2026-06-01,53.0013161340795,"[-475.95765210420234, 581.9602843723613]"
2026-07-01,49.84285669077078,"[-525.4752362031437, 625.1609495846852]"
2026-08-01,46.242620399563855,"[-576.4412332859167, 668.9264740850444]"
2026-09-01,43.63721991373633,"[-627.9414234504156, 715.2158632778883]"
2026-10-01,40.244240332593535,"[-681.2793426498434, 761.7678233150306]"
2026-11-01,37.283871878591974,"[-735.3855001985742, 809.9532439557581]"
2026-12-01,34.455709270429544,"[-790.6039664850973, 859.5153850259564]"
2027-01-01,31.310580960451457,"[-847.1592062602327, 909.7803681811357]"
2027-02-01,28.599480137666934,"[-904.4699558618696, 961.6689161372034]"
