date,prediction,confidence_interval
2025-03-01,181.60395804514545,"[152.27471217462488, 210.933203915666]"
2025-04-01,187.46880799290926,"[153.34291127420005, 221.59470471161848]"
2025-05-01,183.2261412099947,"[142.8986780111979, 223.5536044087915]"
2025-06-01,182.92406155716242,"[138.17699458369003, 227.6711285306348]"
2025-07-01,181.1372271263831,"[132.25605972229698, 230.0183945304692]"
2025-08-01,179.95991371401013,"[127.49846871103684, 232.42135871698343]"
2025-09-01,178.58273593367682,"[122.86006344896526, 234.30540841838837]"
2025-10-01,177.31756025851664,"[118.63911885152304, 235.99600166551022]"
2025-11-01,176.04329844326526,"[114.6503752946679, 237.43622159186262]"
2025-12-01,174.8060588053283,"[110.91122984360848, 238.7008877670481]"
2026-01-01,173.58739963226822,"[107.37352579405491, 239.80127347048153]"
2026-02-01,172.39381709675598,"[104.0226754789198, 240.76495871459218]"
2026-03-01,171.22218957568109,"[100.83735323438715, 241.60702591697503]"
2026-04-01,170.07312098157743,"[97.8034165588504, 242.34282540430445]"
2026-05-01,168.9457880594672,"[94.90748663983786, 242.98408947909653]"
2026-06-01,167.83992986806217,"[92.13864797015404, 243.5412117659703]"
2026-07-01,166.75507933517133,"[89.48723322423814, 244.02292544610452]"
2026-08-01,165.69085978072349,"[86.94487037123075, 244.4368491902162]"
2026-09-01,164.64687021018523,"[84.50414430812253, 244.78959611224792]"
2026-10-01,163.62272940677843,"[82.15847899178948, 245.0869798217674]"
2026-11-01,162.6180587079151,"[79.90198780543328, 245.33412961039693]"
2026-12-01,161.6324884622658,"[77.72937587718127, 245.53560104735033]"
2027-01-01,160.6656553463161,"[75.63585256728592, 245.69545812534628]"
2027-02-01,159.71720321411422,"[73.6170632724167, 245.81734315581173]"
