date,prediction,confidence_interval
2025-03-01,296.64927122072936,"[261.6087309147083, 331.6898115267504]"
2025-04-01,287.9063476066675,"[251.49242592725062, 324.3202692860844]"
2025-05-01,285.67342162051716,"[245.52647487480704, 325.8203683662273]"
2025-06-01,283.421914845848,"[239.54884393405484, 327.29498575764114]"
2025-07-01,281.15182728266,"[233.5448664024687, 328.7587881628513]"
2025-08-01,278.8631589309532,"[227.50414385529464, 330.22217400661174]"
2025-09-01,276.5559097907276,"[221.41912130426851, 331.69269827718665]"
2025-10-01,274.23007986198314,"[215.2842085314752, 333.1759511924911]"
2025-11-01,271.8856691447199,"[209.09521354861144, 334.6761247408283]"
2025-12-01,269.5226776389378,"[202.84896375369618, 336.19639152417943]"
2026-01-01,267.1411053446369,"[196.54304480290742, 337.73916588636644]"
2026-02-01,264.74095226181726,"[190.17561595557424, 339.30628856806027]"
2026-03-01,262.3222183904788,"[183.74527661130514, 340.8991601696524]"
2026-04-01,259.8849037306215,"[177.2509680113567, 342.5188394498863]"
2026-05-01,257.4290082822454,"[170.69189964231384, 344.1661169221769]"
2026-06-01,254.95453204535045,"[164.06749333720973, 345.84157075349117]"
2026-07-01,252.4614750199367,"[157.3773402775768, 347.54560976229664]"
2026-08-01,249.94983720600413,"[150.62116754609087, 349.2785068659174]"
2026-09-01,247.41961860355278,"[143.79881184767896, 351.0404253594266]"
2026-10-01,244.8708192125826,"[136.91019867814185, 352.83143974702335]"
2026-11-01,242.3034390330936,"[129.95532567898974, 354.6515523871975]"
2026-12-01,239.7174780650858,"[122.93424924192952, 356.50070688824206]"
2027-01-01,237.11293630855917,"[115.84707365927463, 358.37879895784374]"
2027-02-01,234.48981376351375,"[108.69394228572915, 360.2856852412983]"
