date,prediction,confidence_interval
2025-03-01,187.21636191135553,"[182.7870954534312, 191.64562836927988]"
2025-04-01,188.90460203370358,"[180.82522042290887, 196.9839836444983]"
2025-05-01,190.47312661052945,"[177.79953401078055, 203.14671921027835]"
2025-06-01,192.09626164959397,"[174.1944105880175, 209.99811271117045]"
2025-07-01,193.75587984416654,"[170.03888852009968, 217.4728711682334]"
2025-08-01,195.4472897256423,"[165.37314890840335, 225.52143054288123]"
2025-09-01,197.17494383910528,"[160.23984075187005, 234.11004692634052]"
2025-10-01,198.9378085197615,"[154.66526138035675, 243.21035565916623]"
2025-11-01,200.73674667575668,"[148.67343582813908, 252.80005752337428]"
2025-12-01,202.57215410041294,"[142.2838222399022, 262.8604859609237]"
2026-01-01,204.44449741651118,"[135.51308460169633, 273.37591023132603]"
2026-02-01,206.35424706381477,"[128.37563035820307, 284.33286376942647]"
2026-03-01,208.30186590373634,"[120.88405583240375, 295.7196759750689]"
2026-04-01,210.28782013217224,"[113.04950139937085, 307.52613886497363]"
2026-05-01,212.31257495613426,"[104.88190215433114, 319.74324775793735]"
2026-06-01,214.37659578776265,"[96.39018788197814, 332.36300369354717]"
2026-07-01,216.48034802074446,"[87.58243858388897, 345.37825745759994]"
2026-08-01,218.62429704100745,"[78.46600889799572, 358.7825851840192]"
2026-09-01,220.8089082397068,"[69.04762877200824, 372.57018770740535]"
2026-10-01,223.0346470061131,"[59.33348587381295, 386.73580813841323]"
2026-11-01,225.3019787299793,"[49.329293802461564, 401.27466365749706]"
2026-12-01,227.61136880097925,"[39.04034907281607, 416.18238852914243]"
2027-01-01,229.96328260878573,"[28.471579134621805, 431.45498608294963]"
2027-02-01,232.35818554307843,"[17.62758315106447, 447.0887879350924]"
