date,prediction,confidence_interval
2025-03-01,182.85889115311616,"[169.86058903955333, 195.857193266679]"
2025-04-01,184.60819774384433,"[168.56417007900632, 200.65222540868234]"
2025-05-01,186.37301187064182,"[167.73595047137331, 205.01007326991032]"
2025-06-01,188.15333353350863,"[167.20712719460684, 209.09953987241042]"
2025-07-01,189.94916273244473,"[166.89224768789313, 213.00607777699634]"
2025-08-01,191.76049946745016,"[166.74103959666337, 216.77995933823695]"
2025-09-01,193.5873437385249,"[166.72101382465462, 220.4536736523952]"
2025-10-01,195.42969554566895,"[166.8097677976287, 224.0496232937092]"
2025-11-01,197.2875548888823,"[166.9911010287582, 227.58400874900641]"
2025-12-01,199.160921768165,"[167.25286259631906, 231.06898094001093]"
2026-01-01,201.04979618351697,"[167.58567157767126, 234.5139207893627]"
2026-02-01,202.95417813493827,"[167.98211351831011, 237.92624275156643]"
2026-03-01,204.8740676224289,"[168.43621307056884, 241.31192217428895]"
2026-04-01,206.80946464598884,"[168.94307508346787, 244.6758542085098]"
2026-05-01,208.76036920561808,"[169.4986327882075, 248.02210562302866]"
2026-06-01,210.72678130131663,"[170.09946648901652, 251.35409611361675]"
2026-07-01,212.70870093308451,"[170.74267007443063, 254.6747317917384]"
2026-08-01,214.7061281009217,"[171.42575080922268, 257.9865053926207]"
2026-09-01,216.71906280482818,"[172.1465528150254, 261.291572794631]"
2026-10-01,218.747505044804,"[172.90319774985628, 264.59181233975175]"
2026-11-01,220.7914548208491,"[173.69403819651882, 267.8888714451794]"
2026-12-01,222.85091213296354,"[174.51762059106815, 271.18420367485896]"
2027-01-01,224.9258769811473,"[175.37265541479218, 274.4790985475024]"
2027-02-01,227.01634936540037,"[176.25799298772236, 277.77470574307836]"
