date,prediction,confidence_interval
2025-03-01,185.1444167050086,"[171.9221038436783, 198.36672956633893]"
2025-04-01,188.09145203516212,"[172.85458544508157, 203.32831862524267]"
2025-05-01,188.60301853423977,"[170.32867411543998, 206.87736295303955]"
2025-06-01,190.06499600113375,"[169.64823461423606, 210.48175738803144]"
2025-07-01,191.23370081169824,"[168.67742820429623, 213.78997341910025]"
2025-08-01,192.43247342707815,"[167.96244984460526, 216.90249700955104]"
2025-09-01,193.72606428153946,"[167.44467482120808, 220.00745374187085]"
2025-10-01,194.89304248449375,"[166.89637980512228, 222.88970516386522]"
2025-11-01,196.21132543183404,"[166.5880425889747, 225.83460827469338]"
2025-12-01,197.38949683075626,"[166.19713434109607, 228.58185932041644]"
2026-01-01,198.71440041479983,"[166.02146781065377, 231.40733301894588]"
2026-02-01,199.91100685565328,"[165.75799354553948, 234.0640201657671]"
2026-03-01,201.2399749971419,"[165.6802487791904, 236.7997012150934]"
2026-04-01,202.4555651270037,"[165.51986380346523, 239.39126645054216]"
2026-05-01,203.78889024588298,"[165.519806794001, 242.05797369776496]"
2026-06-01,205.02283735987763,"[165.44475127139282, 244.60092344836244]"
2026-07-01,206.3612613305467,"[165.50894161375302, 247.2135810473404]"
2026-08-01,207.6128021050824,"[165.5061826143997, 249.7194215957651]"
2026-09-01,208.95707057807275,"[165.6250635485237, 252.28907760762178]"
2026-10-01,210.22549244384547,"[165.68478144679204, 254.7662034408989]"
2026-11-01,211.5762797441173,"[165.85127005563896, 257.30128943259564]"
2026-12-01,212.86094740928786,"[165.9658658423684, 259.7560289762073]"
2027-01-01,214.21885082542934,"[166.174553809186, 262.26314784167266]"
2027-02-01,215.5192032657427,"[166.33800993666603, 264.7003965948194]"
