date,prediction,confidence_interval
2025-03-01,435.2146652568821,"[408.91302577258756, 461.5163047411766]"
2025-04-01,428.7479738828385,"[387.6436915288914, 469.8522562367856]"
2025-05-01,417.7717531482647,"[357.3482960737884, 478.19521022274097]"
2025-06-01,409.3741255968315,"[324.71498989466875, 494.03326129899426]"
2025-07-01,399.75861954979155,"[290.4124604721867, 509.1047786273964]"
2025-08-01,389.811184452965,"[252.33837799389283, 527.2839909120371]"
2025-09-01,379.8729593329065,"[212.57278591791942, 547.1731327478935]"
2025-10-01,369.6197199967212,"[170.30633287375576, 568.9331071196866]"
2025-11-01,358.91477757795155,"[125.81151624994129, 592.0180389059618]"
2025-12-01,348.2536903183793,"[79.30145870564206, 617.2059219311166]"
2026-01-01,337.00840884495443,"[30.688513060100092, 643.3283046298088]"
2026-02-01,325.76855148592927,"[-19.899635825730115, 671.4367387975886]"
2026-03-01,314.02292453289886,"[-72.41966563107349, 700.4655146968712]"
2026-04-01,302.21363328277766,"[-126.84253917196708, 731.2698057375223]"
2026-05-01,289.9253188092398,"[-183.13251609953448, 762.9831537180141]"
2026-06-01,277.55893903504574,"[-241.22955551938134, 796.3474335894728]"
2026-07-01,264.7130445681561,"[-301.15186477370776, 830.5779539100199]"
2026-08-01,251.77795052166172,"[-362.8122876144304, 866.3681886577539]"
2026-09-01,238.36958150459344,"[-426.25408565962465, 902.9932486688115]"
2026-10-01,224.85452268308617,"[-491.3843626369246, 941.093408003097]"
2026-11-01,210.87485064312955,"[-558.2578210682819, 980.007522354541]"
2026-12-01,196.77170276279938,"[-626.7786975516668, 1020.3221030772655]"
2027-01-01,182.21073929056894,"[-697.0114469465011, 1061.4329255276389]"
2027-02-01,167.51119452098655,"[-768.8573096911088, 1103.8796987330818]"
