date,prediction,confidence_interval
2025-03-01,178.6207502199874,"[164.55264798520895, 192.68885245476585]"
2025-04-01,179.54748769048783,"[163.84146230529214, 195.25351307568351]"
2025-05-01,179.15517874363644,"[161.12231887739765, 197.18803860987524]"
2025-06-01,178.966143032183,"[159.01594974277893, 198.91633632158707]"
2025-07-01,178.78292270011173,"[157.09620674902177, 200.46963865120168]"
2025-08-01,178.58494762367067,"[155.29255458274415, 201.8773406645972]"
2025-09-01,178.39337140359177,"[153.61083592603083, 203.1759068811527]"
2025-10-01,178.20106880078467,"[152.020831754595, 204.38130584697433]"
2025-11-01,178.00950540535217,"[150.51051757058477, 205.50849324011958]"
2025-12-01,177.81855807840392,"[149.06880141716317, 206.56831473964468]"
2026-01-01,177.62817755331847,"[147.6870505189065, 207.56930458773044]"
2026-02-01,177.43838896097964,"[146.3584261633269, 208.51835175863238]"
2026-03-01,177.24918282209637,"[145.07729558833844, 209.4210700558543]"
2026-04-01,177.06055865290074,"[143.83899338163883, 210.28212392416265]"
2026-05-01,176.8725146412841,"[142.63959326403955, 211.10543601852868]"
2026-06-01,176.68504892635227,"[141.47575413368372, 211.8943437190208]"
2026-07-01,176.49815976171737,"[140.3446042967585, 212.65171522667626]"
2026-08-01,176.31184536636937,"[139.24365330902748, 213.38003742371126]"
2026-09-01,176.12610397366797,"[138.1707242456024, 214.08148370173353]"
2026-10-01,175.9409338214632,"[137.12390067291383, 214.75796697001257]"
2026-11-01,175.7563331528201,"[136.10148465549753, 215.41118165014268]"
2026-12-01,175.57230021635067,"[135.10196310342025, 216.0426373292811]"
2027-01-01,175.3888332660091,"[134.12398051864488, 216.65368601337332]"
2027-02-01,175.2059305611278,"[133.166316712537, 217.24554440971858]"
