date,prediction,confidence_interval
2025-03-01,112.69350080058727,"[88.51618737626318, 136.87081422491138]"
2025-04-01,112.9111750825027,"[87.77178940689664, 138.05056075810876]"
2025-05-01,115.34845071902238,"[86.42342618241008, 144.27347525563468]"
2025-06-01,112.63984302135769,"[80.59556775490988, 144.68411828780552]"
2025-07-01,115.6381436602167,"[81.12205984967062, 150.15422747076278]"
2025-08-01,113.03229121725563,"[75.46460408487704, 150.59997834963423]"
2025-09-01,115.56105361707638,"[75.40946776691496, 155.7126394672378]"
2025-10-01,113.11626126414191,"[70.05791666392918, 156.17460586435465]"
2025-11-01,115.3762210823835,"[69.61039043273311, 161.14205173203388]"
2025-12-01,112.92767524540872,"[64.18572480169608, 161.66962568912135]"
2026-01-01,114.99738588567547,"[63.4116719583839, 166.58309981296705]"
2026-02-01,112.52397678093348,"[57.80318044535999, 167.24477311650696]"
2026-03-01,114.40320516079863,"[56.645552227395285, 172.16085809420198]"
2026-04-01,111.90905312924849,"[50.8058538992459, 173.01225235925108]"
2026-05-01,113.59712749443783,"[49.21273782782109, 177.98151716105457]"
2026-06-01,111.08082854527963,"[43.095106677488644, 179.06655041307062]"
2026-07-01,112.58124306025196,"[41.02784971633007, 184.13463640417388]"
2026-08-01,110.03963976224544,"[34.58853666122728, 185.49074286326362]"
2026-09-01,111.35615930297344,"[32.01404439992784, 190.69827420601905]"
2026-10-01,108.78636429995504,"[25.214322068993198, 192.35840653091688]"
2026-11-01,109.92242859216933,"[22.102991284419858, 197.7418658999188]"
2026-12-01,107.32179280067368,"[14.908286154567307, 199.73529944678006]"
2027-01-01,108.28068228686203,"[11.233613722172905, 205.32775085155117]"
2027-02-01,105.64667613173819,"[3.6126761605546136, 207.68067610292178]"
