date,prediction,confidence_interval
2025-03-01,183.99872372049572,"[155.94958548677363, 212.0478619542178]"
2025-04-01,186.38391545827307,"[157.34861064239394, 215.4192202741522]"
2025-05-01,187.79015966059876,"[158.57101315002842, 217.0093061711691]"
2025-06-01,189.20548108579203,"[159.8013905882221, 218.60957158336197]"
2025-07-01,190.6298797338529,"[161.03976355867184, 220.21999590903397]"
2025-08-01,192.06335560478138,"[162.2861522676504, 221.84055894191235]"
2025-09-01,193.50590869857746,"[163.5405765310534, 223.4712408661015]"
2025-10-01,194.95753901524114,"[164.8030557795975, 225.11202225088476]"
2025-11-01,196.41824655477242,"[166.07360906415133, 226.76288404539352]"
2025-12-01,197.8880313171713,"[167.35225506118084, 228.42380757316178]"
2026-01-01,199.3668933024378,"[168.63901207829218, 230.09477452658342]"
2026-02-01,200.8548325105719,"[169.93389805985626, 231.77576696128753]"
2026-03-01,202.3518489415736,"[171.2369305927004, 233.4667672904468]"
2026-04-01,203.8579425954429,"[172.5481269118532, 235.1677582790326]"
2026-05-01,205.3731134721798,"[173.86750390633, 236.8787230380296]"
2026-06-01,206.8973615717843,"[175.1950781249465, 238.5996450186221]"
2026-07-01,208.4306868942564,"[176.53086578215022, 240.3305080063626]"
2026-08-01,209.97308943959612,"[177.87488276385903, 242.0712961153332]"
2026-09-01,211.52456920780344,"[179.22714463329757, 243.8219937823093]"
2026-10-01,213.08512619887836,"[180.58766663682275, 245.58258576093397]"
2026-11-01,214.65476041282088,"[181.95646370973034, 247.3530571159114]"
2026-12-01,216.233471849631,"[183.33355048203532, 249.13339321722668]"
2027-01-01,217.82126050930873,"[184.71894128421923, 250.92357973439823]"
2027-02-01,219.41812639185406,"[186.11265015293844, 252.72360263076968]"
