date,prediction,confidence_interval
2025-03-01,118.48564329526789,"[67.6934805312531, 169.27780605928268]"
2025-04-01,115.72743991020477,"[64.85452551355603, 166.6003543068535]"
2025-05-01,116.69226254600039,"[65.81934807241169, 167.5651770195891]"
2025-06-01,117.65708518179602,"[66.78417063126733, 168.5299997323247]"
2025-07-01,118.62190781759165,"[67.748993190123, 169.4948224450603]"
2025-08-01,119.58673045338728,"[68.71381574897865, 170.4596451577959]"
2025-09-01,120.5515530891829,"[69.6786383078343, 171.4244678705315]"
2025-10-01,121.51637572497853,"[70.64346086668996, 172.3892905832671]"
2025-11-01,122.48119836077416,"[71.60828342554562, 173.3541132960027]"
2025-12-01,123.44602099656979,"[72.57310598440128, 174.3189360087383]"
2026-01-01,124.41084363236541,"[73.53792854325694, 175.28375872147387]"
2026-02-01,125.37566626816104,"[74.5027511021126, 176.24858143420948]"
2026-03-01,126.34048890395667,"[75.46757366096824, 177.2134041469451]"
2026-04-01,127.3053115397523,"[76.43239621982391, 178.17822685968068]"
2026-05-01,128.27013417554792,"[77.39721877867956, 179.1430495724163]"
2026-06-01,129.23495681134355,"[78.36204133753523, 180.10787228515187]"
2026-07-01,130.19977944713918,"[79.32686389639088, 181.07269499788748]"
2026-08-01,131.1646020829348,"[80.29168645524655, 182.03751771062306]"
2026-09-01,132.12942471873043,"[81.25650901410219, 183.00234042335867]"
2026-10-01,133.09424735452606,"[82.22133157295787, 183.96716313609426]"
2026-11-01,134.0590699903217,"[83.18615413181351, 184.93198584882987]"
2026-12-01,135.02389262611732,"[84.15097669066918, 185.89680856156545]"
2027-01-01,135.98871526191294,"[85.11579924952483, 186.86163127430106]"
2027-02-01,136.95353789770857,"[86.0806218083805, 187.82645398703664]"
