date,prediction,confidence_interval
2025-03-01,252.54389651623958,"[223.79381547281142, 281.2939775596678]"
2025-04-01,249.21715754974736,"[219.84921325159598, 278.5851018478987]"
2025-05-01,258.6956410119504,"[228.57297421268294, 288.81830781121784]"
2025-06-01,248.74516417389782,"[218.62098760799418, 278.8693407398015]"
2025-07-01,246.32399850490594,"[215.4491082528049, 277.198888757007]"
2025-08-01,244.71146068417065,"[212.42384684463133, 276.99907452370996]"
2025-09-01,249.16392366668708,"[214.91574046131427, 283.4121068720599]"
2025-10-01,252.403030718107,"[216.9606559449915, 287.84540549122255]"
2025-11-01,253.9378679268208,"[217.78293261139424, 290.0928032422473]"
2025-12-01,252.97188626629267,"[216.27861669802726, 289.6651558345581]"
2026-01-01,252.05001005258381,"[214.6550784779397, 289.44494162722793]"
2026-02-01,252.20794414799687,"[213.88978198368994, 290.5261063123038]"
2026-03-01,253.58311545762197,"[214.25806960903842, 292.90816130620556]"
2026-04-01,255.0942564166025,"[214.87673248603772, 295.31178034716726]"
2026-05-01,256.0317973197133,"[215.06485850008391, 296.99873613934267]"
2026-06-01,256.3357210403261,"[214.68427774880917, 297.9871643318431]"
2026-07-01,256.5123181546459,"[214.15423789990254, 298.8703984093893]"
2026-08-01,256.97585630185205,"[213.86216332676096, 300.08954927694316]"
2026-09-01,257.77588031414433,"[213.88927056763984, 301.66249006064885]"
2026-10-01,258.66694041667324,"[214.0354682300832, 303.2984126032633]"
2026-11-01,259.41871017947267,"[214.08534460063197, 304.75207575831337]"
2026-12-01,259.9913506217467,"[213.98310685782798, 305.9995943856654]"
2027-01-01,260.50459257423154,"[213.82560151676873, 307.1835836316944]"
2027-02-01,261.0839525736782,"[213.72863942320322, 308.43926572415313]"
