date,prediction,confidence_interval
2025-03-01,118.31415108513666,"[100.34188456989574, 136.28641760037758]"
2025-04-01,129.58755393492845,"[110.79400376069417, 148.38110410916272]"
2025-05-01,133.56602147350742,"[112.534734296245, 154.59730865076983]"
2025-06-01,127.67056987706641,"[103.96914209486287, 151.37199765926997]"
2025-07-01,135.77204783251378,"[110.84686179426711, 160.69723387076044]"
2025-08-01,131.63559460229027,"[104.39560941421665, 158.8755797903639]"
2025-09-01,136.80836490219286,"[108.27834780262188, 165.33838200176385]"
2025-10-01,135.04184230517927,"[104.64901825966709, 165.43466635069146]"
2025-11-01,138.74522261181673,"[107.04020163226386, 170.4502435913696]"
2025-12-01,137.91097839835922,"[104.56922373529412, 171.25273306142432]"
2026-01-01,141.01631507357317,"[106.39707138815332, 175.635558758993]"
2026-02-01,140.70390318761682,"[104.58732749888789, 176.82047887634576]"
2026-03-01,143.3871763370917,"[106.03020544992195, 180.74414722426144]"
2026-04-01,143.49952716643557,"[104.75007133545358, 182.24898299741756]"
2026-05-01,145.8463853259034,"[105.88891499242834, 185.80385565937848]"
2026-06-01,146.29414383511573,"[105.02565507901778, 187.56263259121368]"
2026-07-01,148.39341497333797,"[105.94680486794417, 190.84002507873177]"
2026-08-01,149.09465860940827,"[105.40097432413482, 192.7883428946817]"
2026-09-01,151.01812545795482,"[106.17430067622107, 195.86195023968858]"
2026-10-01,151.9114884284849,"[105.87182659457336, 197.95115026239642]"
2026-11-01,153.71128423374364,"[106.54745238729166, 200.87511608019562]"
2026-12-01,154.75235471806948,"[106.43462729628999, 203.07008213984898]"
2027-01-01,156.46649681573413,"[107.04854697715848, 205.88444665430978]"
2027-02-01,157.6226158178517,"[107.08572763251928, 208.15950400318414]"
