date,prediction,confidence_interval
2025-03-01,108.82313472068091,"[88.72543206314693, 128.9208373782149]"
2025-04-01,109.10446514791067,"[88.95366188005335, 129.255268415768]"
2025-05-01,109.40567771674498,"[89.17480301046427, 129.63655242302568]"
2025-06-01,109.72742360474271,"[89.38335864325713, 130.07148856622828]"
2025-07-01,110.07035398946286,"[89.57367325862651, 130.5670347202992]"
2025-08-01,110.43512004846431,"[89.7400368990548, 131.1302031978738]"
2025-09-01,110.82237295930602,"[89.87680591060928, 131.76794000800277]"
2025-10-01,111.2327638995469,"[89.97853411436866, 132.48699368472515]"
2025-11-01,111.66694404674588,"[90.04010614221784, 133.29378195127393]"
2025-12-01,112.12556457846189,"[90.05686325230063, 134.19426590462314]"
2026-01-01,112.60927667225387,"[90.024711769553, 135.19384157495475]"
2026-02-01,113.11873150568073,"[89.94020558919607, 136.2972574221654]"
2026-03-01,113.65458025630141,"[89.8005968130052, 137.50856369959763]"
2026-04-01,114.21747410167482,"[89.60385210025544, 138.8310961030942]"
2026-05-01,114.80806421935993,"[89.34863603201995, 140.26749240669992]"
2026-06-01,115.42700178691562,"[89.03426601525203, 141.81973755857922]"
2026-07-01,116.07493798190087,"[88.66064547444657, 143.48923048935518]"
2026-08-01,116.75252398187455,"[88.22818306880419, 145.2768648949449]"
2026-09-01,117.46041096439565,"[87.73770550530156, 147.18311642348974]"
2026-10-01,118.19925010702303,"[87.19037048046789, 149.20812973357818]"
2026-11-01,118.96969258731569,"[86.58758475394264, 151.35180042068873]"
2026-12-01,119.77238958283252,"[85.93093069202116, 153.61384847364388]"
2027-01-01,120.60799227113246,"[85.2221030863635, 155.99388145590143]"
2027-02-01,121.47715182977443,"[84.46285680666364, 158.49144685288522]"
