date,prediction,confidence_interval
2025-03-01,293.5841602727402,"[284.69904790627254, 302.4692726392078]"
2025-04-01,294.43560408753166,"[282.53466032861274, 306.33654784645057]"
2025-05-01,295.8467391853075,"[280.76182888910137, 310.93164948151366]"
2025-06-01,296.9903132778874,"[278.6709943881315, 315.3096321676434]"
2025-07-01,298.19343847304856,"[277.1514687293169, 319.23540821678023]"
2025-08-01,299.44024493422495,"[275.80333990610205, 323.07714996234785]"
2025-09-01,300.65006665337796,"[274.60442056277526, 326.69571274398066]"
2025-10-01,301.87994827269904,"[273.59806068956243, 330.16183585583565]"
2025-11-01,303.11014166740125,"[272.70885414040646, 333.51142919439604]"
2025-12-01,304.33823122825595,"[271.9299654849887, 336.7464969715232]"
2026-01-01,305.5705582051548,"[271.24826969670465, 339.8928467136049]"
2026-02-01,306.8030593131225,"[270.64486180415656, 342.96125682208844]"
2026-03-01,308.0366799904261,"[270.11185198219255, 345.9615079986596]"
2026-04-01,309.2717361893036,"[269.6400385995791, 348.90343377902815]"
2026-05-01,310.5076981331368,"[269.22180871096816, 351.7935875553054]"
2026-06-01,311.7448131150023,"[268.8515912417288, 354.63803498827576]"
2026-07-01,312.98303016469674,"[268.52422814018564, 357.44183218920784]"
2026-08-01,314.22230736543895,"[268.235496523046, 360.2091182078319]"
2026-09-01,315.4626804484086,"[267.98183099239037, 362.94352990442684]"
2026-10-01,316.70413193685124,"[267.76010728452434, 365.64815658917814]"
2026-11-01,317.9466622185124,"[267.5676512728227, 368.32567316420216]"
2026-12-01,319.1902743652726,"[267.40212534606576, 370.97842338447947]"
2027-01-01,320.4349654105489,"[267.2614736733077, 373.6084571477901]"
2027-02-01,321.6807361648105,"[267.14388587055925, 376.2175864590618]"
