date,prediction,confidence_interval
2025-03-01,121.79003802937541,"[110.82759429146246, 132.75248176728834]"
2025-04-01,123.62942434228955,"[110.70496406658275, 136.55388461799637]"
2025-05-01,124.05769422402624,"[108.59587022647707, 139.5195182215754]"
2025-06-01,125.03157658149495,"[107.65534657706469, 142.40780658592521]"
2025-07-01,125.80393059620205,"[106.58576657744254, 145.02209461496156]"
2025-08-01,126.66003819999216,"[105.7772170724138, 147.5428593275705]"
2025-09-01,127.49096975253177,"[105.0365456340986, 149.94539387096495]"
2025-10-01,128.3383180265088,"[104.40307030027667, 152.27356575274092]"
2025-11-01,129.18620158933456,"[103.83916060457801, 154.5332425740911]"
2025-12-01,130.0406844729254,"[103.34205374206893, 156.73931520378187]"
2026-01-01,130.8994512386156,"[102.89993562090596, 158.89896685632522]"
2026-02-01,131.7633859939245,"[102.50721203854938, 161.01955994929958]"
2026-03-01,132.6321511587135,"[102.15796805177054, 163.10633426565644]"
2026-04-01,133.5058756317279,"[101.84791030355913, 165.16384095989665]"
2026-05-01,134.38451019536086,"[101.57327031873746, 167.19575007198426]"
2026-06-01,135.26807364244718,"[101.3309619129785, 169.20518537191586]"
2026-07-01,136.15655879728973,"[101.11833423994253, 171.19478335463694]"
2026-08-01,137.04996839979603,"[100.93312618254225, 173.1668106170498]"
2026-09-01,137.94830140378292,"[100.77337828971275, 175.1232245178531]"
2026-10-01,138.85155820871614,"[100.63738514328205, 177.06573127415024]"
2026-11-01,139.75973866206712,"[100.52365018593008, 178.99582713820416]"
2026-12-01,140.67284282207603,"[100.43085286921455, 180.9148327749375]"
2027-01-01,141.59087066650494,"[100.3578211382112, 182.8239201947987]"
2027-02-01,142.51382220384502,"[100.30350956171706, 184.72413484597297]"
