date,prediction,confidence_interval
2025-03-01,129.104370488706,"[118.49875015228159, 139.7099908251304]"
2025-04-01,131.66483142519579,"[118.11566363603279, 145.21399921435878]"
2025-05-01,133.84504047487647,"[115.72689447614619, 151.96318647360675]"
2025-06-01,133.81376796585008,"[109.34185861503096, 158.2856773166692]"
2025-07-01,134.76778829054652,"[103.63403109600458, 165.90154548508846]"
2025-08-01,136.58317218730556,"[98.9326250762977, 174.23371929831342]"
2025-09-01,137.16735258280227,"[91.79212099070268, 182.54258417490183]"
2025-10-01,138.00169666805255,"[84.59302587767858, 191.4103674584265]"
2025-11-01,139.24561910824855,"[77.5507955976677, 200.9404426188294]"
2025-12-01,140.11665574129333,"[69.60593338116529, 210.62737810142136]"
2026-01-01,140.87882000844291,"[61.094744276425345, 220.6628957404605]"
2026-02-01,141.8668595628588,"[52.54698627151342, 231.18673285420417]"
2026-03-01,142.7198522716968,"[43.46369977122724, 241.97600477216633]"
2026-04-01,143.4736075173052,"[33.904953205793575, 253.04226182881683]"
2026-05-01,144.29194351416214,"[24.104620832676204, 264.47926619564805]"
2026-06-01,145.0750862104877,"[13.945964295515353, 276.20420812546007]"
2026-07-01,145.78162794875342,"[3.3761126667181713, 288.1871432307887]"
2026-08-01,146.49297759826825,"[-7.485857779363641, 300.47181297590015]"
2026-09-01,147.18460566797776,"[-18.663056465362814, 313.0322678013183]"
2026-10-01,147.82709244575244,"[-30.187476086576424, 325.84166097808134]"
2026-11-01,148.44880456026203,"[-42.01600218618185, 338.9136113067059]"
2026-12-01,149.0511137650196,"[-54.1391671504862, 352.24139468052545]"
2027-01-01,149.61722205494928,"[-66.57313933193336, 365.8075834418319]"
2027-02-01,150.15589747471196,"[-79.30127929525668, 379.6130742446806]"
