date,prediction,confidence_interval
2025-03-01,147.54091861459,"[128.54258807965496, 166.53924914952503]"
2025-04-01,147.3180240056441,"[127.66934409114904, 166.96670392013917]"
2025-05-01,148.36283189584674,"[127.79288467385226, 168.93277911784122]"
2025-06-01,148.8552361391136,"[128.24678350277026, 169.46368877545694]"
2025-07-01,149.5864419607539,"[128.70815331667714, 170.46473060483063]"
2025-08-01,150.21450235807663,"[129.19358674521806, 171.2354179709352]"
2025-09-01,150.88711026377584,"[129.67604158412638, 172.0981789434253]"
2025-10-01,151.54047871896256,"[130.16255892722654, 172.91839851069858]"
2025-11-01,152.20215641716143,"[130.64957355264505, 173.75473928167781]"
2025-12-01,152.86024547275625,"[131.13833357564647, 174.58215736986602]"
2026-01-01,153.5198844114834,"[131.62827446751538, 175.4114943554514]"
2026-02-01,154.17885397797542,"[132.11957188792672, 176.23813606802412]"
2026-03-01,154.83811263670916,"[132.61211462599047, 177.06411064742784]"
2026-04-01,155.4972464406613,"[133.1059061187592, 177.88858676256342]"
2026-05-01,156.156434167598,"[133.60090679803477, 178.71196153716124]"
2026-06-01,156.81559860597318,"[134.09709507056732, 179.53410214137904]"
2026-07-01,157.47477310234316,"[134.59444381464482, 180.3551023900415]"
2026-08-01,158.13394325480985,"[135.09292922481467, 181.17495728480503]"
2026-09-01,158.79311528334588,"[135.59252745015897, 181.9937031165328]"
2026-10-01,159.45228650163455,"[136.0932157663196, 182.8113572369495]"
2026-11-01,160.1114580698574,"[136.59497210700445, 183.62794403271036]"
2026-12-01,160.7706294869487,"[137.09777517467015, 184.44348379922727]"
2027-01-01,161.42980096931154,"[137.60160436029074, 185.25799757833235]"
2027-02-01,162.08897242348456,"[138.10643972471092, 186.0715051222582]"
