date,prediction,confidence_interval
2025-03-01,110.86965543274877,"[98.35566304767826, 123.38364781781928]"
2025-04-01,110.81613394163277,"[97.61835307802988, 124.01391480523566]"
2025-05-01,110.72572083469672,"[96.93067548903772, 124.52076618035571]"
2025-06-01,110.63558367297153,"[96.27150092308555, 124.99966642285752]"
2025-07-01,110.54572161425898,"[95.63757585220864, 125.45386737630932]"
2025-08-01,110.45613381893125,"[95.02623810450005, 125.88602953336245]"
2025-09-01,110.36681944992311,"[94.43527589873435, 126.29836300111188]"
2025-10-01,110.27777767272411,"[93.86282739733998, 126.69272794810824]"
2025-11-01,110.18900765537076,"[93.30730738497459, 127.07070792576692]"
2025-12-01,110.10050856843874,"[92.76735261830515, 127.43366451857233]"
2026-01-01,110.01227958503522,"[92.24178034164146, 127.78277882842897]"
2026-02-01,109.92431988079103,"[91.72955628507341, 128.11908347650865]"
2026-03-01,109.83662863385308,"[91.2297696213949, 128.44348764631127]"
2026-04-01,109.74920502487656,"[90.7416131157445, 128.7567969340086]"
2026-05-01,109.66204823701737,"[90.26436720856441, 129.05972926547034]"
2026-06-01,109.57515745592445,"[89.79738711844156, 129.35292779340736]"
2026-07-01,109.48853186973217,"[89.34009229209815, 129.6369714473662]"
2026-08-01,109.40217066905277,"[88.8919576991324, 129.91238363897313]"
2026-09-01,109.31607304696877,"[88.45250659152572, 130.17963950241182]"
2026-10-01,109.23023819902545,"[88.02130443715745, 130.43917196089345]"
2026-11-01,109.14466532322332,"[87.59795380245248, 130.69137684399416]"
2026-12-01,109.05935362001063,"[87.18209000851525, 130.936617231506]"
2027-01-01,108.9743022922759,"[86.77337742229878, 131.175227162253]"
2027-02-01,108.88951054534047,"[86.37150627274445, 131.4075148179365]"
