date,prediction,confidence_interval
2025-03-01,189.54666981769003,"[168.82547665574944, 210.26786297963062]"
2025-04-01,188.37663555211023,"[166.49913396684298, 210.25413713737748]"
2025-05-01,190.72840607100184,"[168.5232361934418, 212.9335759485619]"
2025-06-01,190.15395111709708,"[167.40930611686167, 212.8985961173325]"
2025-07-01,192.06533178439753,"[168.97686026227802, 215.15380330651703]"
2025-08-01,191.86498907525305,"[168.28676848960387, 215.44320966090223]"
2025-09-01,193.45856048520142,"[169.52793105939259, 217.38918991101025]"
2025-10-01,193.528197509341,"[169.14481363681872, 217.91158138186327]"
2025-11-01,194.89242048245833,"[170.15337261744585, 219.63146834747081]"
2025-12-01,195.15688955875603,"[169.99341232354178, 220.3203667939703]"
2026-01-01,196.35560223203157,"[170.83684324451718, 221.87436121954596]"
2026-02-01,196.7606727086137,"[170.83977230265546, 222.68157311457193]"
2026-03-01,197.83994415206348,"[171.56655571183035, 224.11333259229662]"
2026-04-01,198.34648024245482,"[171.68894799902978, 225.00401248587985]"
2026-05-01,199.3395564014061,"[172.3338727597443, 226.3452400430679]"
2026-06-01,199.91931559458914,"[172.54437768806667, 227.2942535011116]"
2026-07-01,200.85018855050396,"[173.13237431145484, 228.56800278955308]"
2026-08-01,201.48278951521095,"[173.4083163316415, 229.55726269878042]"
2026-09-01,202.36877325832828,"[173.95722292291427, 230.78032359374228]"
2026-10-01,203.03950771794783,"[174.2821682647095, 231.79684717118616]"
2026-11-01,203.89309696484608,"[174.80472396271958, 232.98146996697258]"
2026-12-01,204.59135062740506,"[175.16673578014087, 234.01596547466926]"
2027-01-01,205.42156224480416,"[175.67201630694154, 235.17110818266679]"
2027-02-01,206.1396752602013,"[176.06240146069064, 236.21694905971196]"
