date,prediction,confidence_interval
2025-03-01,171.9702518253623,"[166.81341733076238, 177.12708631996225]"
2025-04-01,172.6725347057996,"[165.9024059521393, 179.44266345945988]"
2025-05-01,173.36985862473009,"[165.23972717670298, 181.49999007275719]"
2025-06-01,174.06792328466096,"[164.78304389712184, 183.35280267220008]"
2025-07-01,174.7658772969837,"[164.45365319851348, 185.0781013954539]"
2025-08-01,175.46384783720643,"[164.21789278045824, 186.70980289395462]"
2025-09-01,176.16181590858702,"[164.0539028577054, 188.26972895946864]"
2025-10-01,176.85978434874897,"[163.94732776705723, 189.77224093044072]"
2025-11-01,177.55775273382451,"[163.88802256202442, 191.2274829056246]"
2025-12-01,178.25572112712854,"[163.86852163409517, 192.6429206201619]"
2026-01-01,178.95368951920344,"[163.88313890581279, 194.0242401325941]"
2026-02-01,179.65165791146194,"[163.92742558390546, 195.37589023901842]"
2026-03-01,180.34962630369301,"[163.99782307600935, 196.70142953137668]"
2026-04-01,181.04759469592818,"[164.09143194305437, 198.003757448802]"
2026-05-01,181.74556308816275,"[164.2058526627557, 199.28527351356982]"
2026-06-01,182.4435314803974,"[164.3390726839489, 200.54799027684592]"
2026-07-01,183.14149987263204,"[164.48938431386838, 201.7936154313957]"
2026-08-01,183.83946826486667,"[164.65532373552566, 203.02361279420768]"
2026-09-01,184.5374366571013,"[164.83562486661322, 204.23924844758938]"
2026-10-01,185.23540504933592,"[165.02918387037755, 205.4416262282943]"
2026-11-01,185.93337344157055,"[165.23503145874116, 206.63171542439994]"
2026-12-01,186.63134183380518,"[165.45231099329388, 207.81037267431648]"
2027-01-01,187.3293102260398,"[165.68026096634946, 208.97835948573015]"
2027-02-01,188.02727861827444,"[165.91820083665561, 210.13635639989326]"
