date,prediction,confidence_interval
2025-03-01,44.66898325520407,"[-4.149783015543733, 93.48774952595187]"
2025-04-01,42.194375898820326,"[-10.65664055778386, 95.04539235542451]"
2025-05-01,41.16804079640734,"[-12.34596462311567, 94.68204621593034]"
2025-06-01,40.742371754517634,"[-12.8848513516323, 94.36959486066758]"
2025-07-01,40.56582694688386,"[-13.080847189373998, 94.21250108314172]"
2025-08-01,40.49260557996443,"[-13.157413710112927, 94.1426248700418]"
2025-09-01,40.46223726358397,"[-13.188357421369744, 94.11283194853769]"
2025-10-01,40.44964210620596,"[-13.201051554549217, 94.10033576696114]"
2025-11-01,40.44441830692155,"[-13.206292379116007, 94.0951289929591]"
2025-12-01,40.442251753686456,"[-13.20846186095077, 94.09296536832369]"
2026-01-01,40.44135318299779,"[-13.209360935401854, 94.09206730139744]"
2026-02-01,40.44098050381803,"[-13.209733701236189, 94.09169470887225]"
2026-03-01,40.44082593637802,"[-13.209888283582082, 94.09154015633811]"
2026-04-01,40.44076183005062,"[-13.209952392473504, 94.09147605257473]"
2026-05-01,40.44073524216631,"[-13.209978980798859, 94.09144946513149]"
2026-06-01,40.440724214930455,"[-13.20999000811058, 94.09143843797149]"
2026-07-01,40.44071964142137,"[-13.20999458163272, 94.09143386447545]"
2026-08-01,40.4407177445738,"[-13.20999647848253, 94.09143196763014]"
2026-09-01,40.44071695786264,"[-13.209997265194083, 94.09143118091936]"
2026-10-01,40.44071663157682,"[-13.209997591479969, 94.09143085463361]"
2026-11-01,40.44071649625087,"[-13.20999772680593, 94.09143071930768]"
2026-12-01,40.44071644012489,"[-13.209997782931914, 94.09143066318168]"
2027-01-01,40.440716416846826,"[-13.209997806209977, 94.09143063990362]"
2027-02-01,40.440716407192326,"[-13.209997815864476, 94.09143063024914]"
