date,prediction,confidence_interval
2025-03-01,170.1118894350569,"[156.17694366400866, 184.04683520610513]"
2025-04-01,169.99864099126222,"[150.11422680837495, 189.8830551741495]"
2025-05-01,169.7413853623614,"[145.12893912977472, 194.35383159494808]"
2025-06-01,169.3391366548175,"[140.57089216745527, 198.10738114217975]"
2025-07-01,168.7909089750936,"[136.18188043075668, 201.39993751943052]"
2025-08-01,168.09571642965273,"[131.82435507795867, 204.36707778134678]"
2025-09-01,167.25257312495793,"[127.4123194623456, 207.0928267875703]"
2025-10-01,166.26049316747228,"[122.88605742954732, 209.63492890539723]"
2025-11-01,165.11849066365883,"[118.20086436224216, 212.0361169650755]"
2025-12-01,163.82557971998065,"[113.32133434395658, 214.32982509600473]"
2026-01-01,162.3807744429008,"[108.2181909004503, 216.5433579853513]"
2026-02-01,160.7830889388823,"[102.86640775399027, 218.6997701237743]"
2026-03-01,159.0315373143882,"[97.24403605254881, 220.8190385762276]"
2026-04-01,157.1251336758816,"[91.33144205722228, 222.91882529454097]"
2026-05-01,155.0628921298255,"[85.11079454908497, 225.01498971056606]"
2026-06-01,152.84382678268307,"[78.56570974940276, 227.1219438159634]"
2026-07-01,150.46695174091727,"[71.68099845471384, 229.25290502712068]"
2026-08-01,147.93128111099114,"[64.44248101476055, 231.42008120722173]"
2026-09-01,145.23582899936775,"[56.836848176564075, 233.63480982217143]"
2026-10-01,142.3796095125102,"[48.85155343589848, 235.9076655891219]"
2026-11-01,139.36163675688155,"[40.4747273643581, 238.248546149405]"
2026-12-01,136.18092483894483,"[31.695107514048317, 240.66674216384135]"
2027-01-01,132.83648786516304,"[22.501979574205393, 243.17099615612068]"
2027-02-01,129.32733994199933,"[12.885126841769747, 245.7695530422289]"
