date,prediction,confidence_interval
2025-03-01,283.85933661618594,"[253.2256063331501, 314.4930668992218]"
2025-04-01,281.1991675700304,"[248.75071281329855, 313.64762232676225]"
2025-05-01,283.4154416689914,"[249.8129741529396, 317.01790918504315]"
2025-06-01,280.96859831387343,"[245.74038688878778, 316.1968097389591]"
2025-07-01,282.9820711511153,"[246.67715253074897, 319.2869897714816]"
2025-08-01,280.73039931705205,"[242.94738552081537, 318.5134131132887]"
2025-09-01,282.5584286264005,"[243.7607919439961, 321.3560653088049]"
2025-10-01,280.48532321899773,"[240.32888608702478, 320.6417603509707]"
2025-11-01,282.1437852478698,"[241.02429171596424, 323.26327877977536]"
2025-12-01,280.2340580519409,"[237.85458990686593, 322.6135261970159]"
2026-01-01,281.73747399111625,"[238.4389002671041, 325.0360477151284]"
2026-02-01,279.9772327558501,"[235.50215579586484, 324.4523097158353]"
2026-03-01,281.33888437980653,"[235.98293128016593, 326.69483747944713]"
2026-04-01,279.7154222227245,"[233.25457010382434, 326.17627434162466]"
2026-05-01,280.94745766130126,"[233.6395295542356, 328.2553857683669]"
2026-06-01,279.44915191040474,"[231.0985353367563, 327.7997684840532]"
2026-07-01,280.5626823939797,"[231.39527395153823, 329.73009083642114]"
2026-08-01,279.17890206263894,"[229.0234333326892, 329.3343707925887]"
2026-09-01,280.1840904111337,"[229.23926269744373, 331.12891812482366]"
2026-10-01,278.9051115690061,"[227.02063109843692, 330.7895920395753]"
2026-11-01,279.81125312929555,"[227.16249148081477, 332.46001477777634]"
2026-12-01,278.62818149543085,"[225.0830005271982, 332.17336246366347]"
2027-01-01,279.4437781716052,"[225.15741708842097, 333.7301392547894]"
2027-02-01,278.34847831340136,"[223.20457677549558, 333.49237985130713]"
