date,prediction,confidence_interval
2025-03-01,177.0631387451063,"[165.5196093450849, 188.6066681451277]"
2025-04-01,177.91552951690073,"[164.15532217121992, 191.67573686258154]"
2025-05-01,177.80862150727995,"[162.83233200331262, 192.7849110112473]"
2025-06-01,177.70193775431034,"[161.605704257537, 193.79817125108366]"
2025-07-01,177.59547778757766,"[160.4565636910559, 194.73439188409944]"
2025-08-01,177.48924113765455,"[159.37154842047747, 195.60693385483162]"
2025-09-01,177.38322733609823,"[158.3407857806964, 196.42566889150007]"
2025-10-01,177.27743591544862,"[157.35673423358926, 197.19813759730798]"
2025-11-01,177.17186640922617,"[156.4134773032935, 197.93025551515885]"
2025-12-01,177.0665183519299,"[155.50627091022648, 198.6267657936333]"
2026-01-01,176.96139127903524,"[154.6312410683704, 199.29154148970008]"
2026-02-01,176.8564847269921,"[153.7851750475259, 199.9277944064583]"
2026-03-01,176.7517982332227,"[152.96537292514, 200.5382235413054]"
2026-04-01,176.6473313361196,"[152.16953945691574, 201.12512321532347]"
2026-05-01,176.54308357504368,"[151.39570363398312, 201.69046351610424]"
2026-06-01,176.43905449032204,"[150.64215772218074, 202.23595125846333]"
2026-07-01,176.33524362324607,"[149.90741030688218, 202.76307693960996]"
2026-08-01,176.23165051606935,"[149.19014959866595, 203.27315143347275]"
2026-09-01,176.12827471200566,"[148.48921438413828, 203.76733503987305]"
2026-10-01,176.02511575522698,"[147.8035707597298, 204.24666075072415]"
2026-11-01,175.9221731908614,"[147.1322932998743, 204.7120530818485]"
2026-12-01,175.81944656499127,"[146.4745496677194, 205.16434346226313]"
2027-01-01,175.716935424651,"[145.8295879285916, 205.60428292071043]"
2027-02-01,175.61463931782527,"[145.19672600734842, 206.0325526283021]"
