date,prediction,confidence_interval
2025-03-01,142.6380542353482,"[138.950289098281, 146.3258193724154]"
2025-04-01,143.23676753294612,"[138.0873176215279, 148.38621744436435]"
2025-05-01,143.5959652297237,"[137.0058600938298, 150.1860703656176]"
2025-06-01,143.9551629265013,"[136.18714277886616, 151.72318307413641]"
2025-07-01,144.31436062327887,"[135.5248903135278, 153.10383093302994]"
2025-08-01,144.67355832005646,"[134.96956740714205, 154.37754923297086]"
2025-09-01,145.03275601683404,"[134.49330200109605, 155.57221003257203]"
2025-10-01,145.39195371361163,"[134.07856596891793, 156.70534145830533]"
2025-11-01,145.7511514103892,"[133.7134857906058, 157.78881703017262]"
2025-12-01,146.1103491071668,"[133.3895769259804, 158.8311212883532]"
2026-01-01,146.46954680394438,"[133.10052678759405, 159.83856682029472]"
2026-02-01,146.82874450072197,"[132.84148788945234, 160.8160011119916]"
2026-03-01,147.18794219749955,"[132.6086418431809, 161.7672425518182]"
2026-04-01,147.54713989427714,"[132.3989172218523, 162.695362566702]"
2026-05-01,147.90633759105472,"[132.20979971019398, 163.60287547191547]"
2026-06-01,148.2655352878323,"[132.03920012682858, 164.49187044883604]"
2026-07-01,148.6247329846099,"[131.88536011496043, 165.36410585425935]"
2026-08-01,148.98393068138748,"[131.74678313949164, 166.2210782232833]"
2026-09-01,149.34312837816506,"[131.62218295493733, 167.0640738013928]"
2026-10-01,149.70232607494265,"[131.51044442391637, 167.89420772596893]"
2026-11-01,150.06152377172023,"[131.41059325024554, 168.71245429319492]"
2026-12-01,150.42072146849782,"[131.32177226628235, 169.51967067071328]"
2027-01-01,150.7799191652754,"[131.24322261901312, 170.31661571153768]"
2027-02-01,151.139116862053,"[131.17426867197986, 171.1039650521261]"
