date,prediction,confidence_interval
2025-03-01,620.5346394864467,"[603.6633754499296, 637.4059035229639]"
2025-04-01,636.3357281845848,"[605.9158561821212, 666.7556001870485]"
2025-05-01,655.3812253960249,"[607.2290436449958, 703.5334071470539]"
2025-06-01,668.3254534551403,"[599.6214877024113, 737.0294192078693]"
2025-07-01,687.5863004718773,"[596.690140135879, 778.4824608078756]"
2025-08-01,704.6069828646438,"[588.8165305420309, 820.3974351872566]"
2025-09-01,720.1566867737555,"[577.7236277237683, 862.5897458237426]"
2025-10-01,741.5213324984443,"[570.7488023489459, 912.2938626479427]"
2025-11-01,756.3817226815553,"[555.0423997502536, 957.721045612857]"
2025-12-01,777.3029505457246,"[544.2287207019922, 1010.377180389457]"
2026-01-01,796.1135336213546,"[529.2565527571492, 1062.97051448556]"
2026-02-01,813.8921266524784,"[511.83496997886215, 1115.9492833260947]"
2026-03-01,836.5730921885621,"[497.88952780543275, 1175.2566565716916]"
2026-04-01,853.9057856932828,"[476.8018659828495, 1231.0097054037162]"
2026-05-01,876.3664416982994,"[459.749627336104, 1292.9832560604946]"
2026-06-01,897.1737730332495,"[439.3404437806742, 1355.0071022858249]"
2026-07-01,917.1557856028683,"[416.82527857728394, 1417.4862926284527]"
2026-08-01,941.3555821041309,"[397.24454360872824, 1485.4666205995336]"
2026-09-01,961.1407714158142,"[371.6888659133008, 1550.5926769183277]"
2026-10-01,985.2958564147583,"[349.4496033234252, 1621.1421095060914]"
2026-11-01,1008.169762500294,"[324.42645061154815, 1691.91307438904]"
2026-12-01,1030.404499516949,"[297.5657307751503, 1763.2432682587478]"
2027-01-01,1056.2792594576913,"[273.1471546411069, 1839.4113642742757]"
2027-02-01,1078.5277059383839,"[243.69150490663708, 1913.3639069701308]"
