date,prediction,confidence_interval
2025-03-01,91.52482069634067,"[59.612980698736536, 123.4366606939448]"
2025-04-01,89.47410229619959,"[57.534645019041115, 121.41355957335807]"
2025-05-01,88.05190760174871,"[56.091229192851635, 120.01258601064578]"
2025-06-01,90.20264116455483,"[57.813195521836725, 122.59208680727295]"
2025-07-01,89.08919829259844,"[56.65868569003792, 121.51971089515897]"
2025-08-01,90.42324441564554,"[57.704857339242324, 123.14163149204876]"
2025-09-01,89.99759349209603,"[57.19182536440057, 122.80336161979149]"
2025-10-01,90.82416078096125,"[57.80233071524859, 123.84599084667391]"
2025-11-01,90.76196238864331,"[57.622225276845676, 123.90169950044094]"
2025-12-01,91.33014686910518,"[58.00747350194473, 124.65282023626563]"
2026-01-01,91.45129050318334,"[57.99431027028942, 124.90827073607727]"
2026-02-01,91.88944267355987,"[58.26578660514548, 125.51309874197426]"
2026-03-01,92.10279819998809,"[58.33687665268804, 125.86871974728814]"
2026-04-01,92.47556074439612,"[58.551498130966785, 126.39962335782545]"
2026-05-01,92.73528521957695,"[58.66553462961024, 126.80503580954365]"
2026-06-01,93.07516678467456,"[58.852119675755, 127.29821389359412]"
2026-07-01,93.35820768719051,"[58.988380146875414, 127.72803522750561]"
2026-08-01,93.68155520370459,"[59.16146461855717, 128.201645788852]"
2026-09-01,93.9763206620051,"[59.30952371781166, 128.64311760619853]"
2026-10-01,94.29135411034548,"[59.4764203070934, 129.10628791359755]"
2026-11-01,94.59201520603368,"[59.63102031515745, 129.5530100969099]"
2026-12-01,94.90286796455284,"[59.7953977717149, 130.01033815739078]"
2027-01-01,95.20649365358852,"[59.95387876041344, 130.45910854676362]"
2027-02-01,95.51524417202498,"[60.11757001747549, 130.91291832657447]"
