date,prediction,confidence_interval
2025-03-01,128.70671692071818,"[107.09736821886108, 150.31606562257528]"
2025-04-01,126.31988540641915,"[102.86776189272211, 149.77200892011618]"
2025-05-01,131.80165338739974,"[105.75247545771064, 157.85083131708882]"
2025-06-01,131.235681532571,"[101.36953482378611, 161.10182824135586]"
2025-07-01,132.3552332793274,"[100.11778236396226, 164.59268419469254]"
2025-08-01,134.2951629166947,"[99.31687896100787, 169.2734468723815]"
2025-09-01,135.03006391577355,"[97.27744616397456, 172.78268166757255]"
2025-10-01,136.33568829459475,"[96.01576255947414, 176.65561402971537]"
2025-11-01,137.61120156330804,"[94.60572584952456, 180.61667727709153]"
2025-12-01,138.6849802580813,"[92.9883617178794, 184.38159879828322]"
2026-01-01,139.88853347666316,"[91.48755299770072, 188.28951395562558]"
2026-02-01,141.03857688686267,"[89.86075853688004, 192.2163952368453]"
2026-03-01,142.15481832108404,"[88.1481451816554, 196.16149146051268]"
2026-04-01,143.28562397344078,"[86.38142745018027, 200.1898204967013]"
2026-05-01,144.38869699625812,"[84.50397931114892, 204.2734146813673]"
2026-06-01,145.47808728276846,"[82.52795551116867, 208.42821905436824]"
2026-07-01,146.5578543721552,"[80.44723194496883, 212.66847679934153]"
2026-08-01,147.61999328838385,"[78.24662485050796, 216.99336172625976]"
2026-09-01,148.66873956302518,"[75.92483639212432, 221.41264273392605]"
2026-10-01,149.70353687235635,"[73.47446171786845, 225.93261202684425]"
2026-11-01,150.72312206547568,"[70.88856487969787, 230.5576792512535]"
2026-12-01,151.7283943258132,"[68.16265840341943, 235.294130248207]"
2027-01-01,152.71891696544782,"[65.2909337686454, 240.14690016225023]"
2027-02-01,153.69448571966092,"[62.26826826681702, 245.12070317250482]"
